@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
I, 0.33, 0.255, 0.085, 0.1655, 0.063, 0.039, 0.06, 8
I, 0.35, 0.26, 0.085, 0.174, 0.0705, 0.0345, 0.06, 10
F, 0.575, 0.46, 0.185, 1.094, 0.4485, 0.217, 0.345, 15
M, 0.56, 0.45, 0.175, 1.011, 0.3835, 0.2065, 0.37, 15
M, 0.545, 0.46, 0.16, 0.8975, 0.341, 0.1655, 0.345, 10
M, 0.52, 0.45, 0.15, 0.895, 0.3615, 0.186, 0.235, 14
M, 0.47, 0.39, 0.15, 0.6355, 0.2185, 0.0885, 0.255, 9
F, 0.64, 0.525, 0.215, 1.779, 0.4535, 0.2855, 0.55, 22
M, 0.62, 0.485, 0.205, 1.219, 0.3875, 0.2505, 0.385, 14
F, 0.535, 0.415, 0.17, 0.879, 0.295, 0.1965, 0.285, 10
I, 0.275, 0.205, 0.075, 0.1105, 0.045, 0.0285, 0.035, 6
I, 0.28, 0.21, 0.085, 0.1065, 0.039, 0.0295, 0.03, 4
I, 0.2, 0.145, 0.06, 0.037, 0.0125, 0.0095, 0.011, 4
M, 0.595, 0.455, 0.195, 1.3305, 0.4595, 0.3235, 0.345, 19
M, 0.36, 0.295, 0.105, 0.241, 0.0865, 0.053, 0.095, 8
I, 0.36, 0.28, 0.09, 0.2255, 0.0885, 0.04, 0.09, 8
F, 0.74, 0.6, 0.195, 1.974, 0.598, 0.4085, 0.71, 16
F, 0.62, 0.51, 0.205, 1.3475, 0.4775, 0.2565, 0.48, 14
F, 0.65, 0.545, 0.165, 1.566, 0.6645, 0.3455, 0.415, 16
F, 0.68, 0.58, 0.2, 1.787, 0.585, 0.453, 0.6, 19
F, 0.61, 0.495, 0.185, 1.1085, 0.3705, 0.3135, 0.33, 12
M, 0.49, 0.42, 0.125, 0.609, 0.239, 0.1435, 0.22, 14
M, 0.475, 0.375, 0.125, 0.593, 0.277, 0.115, 0.18, 10
I, 0.345, 0.275, 0.095, 0.1995, 0.0755, 0.0535, 0.07, 6
M, 0.585, 0.455, 0.15, 0.987, 0.4355, 0.2075, 0.31, 11
F, 0.435, 0.325, 0.11, 0.4335, 0.178, 0.0985, 0.155, 7
F, 0.525, 0.44, 0.15, 0.8425, 0.3685, 0.1985, 0.24, 12
M, 0.63, 0.515, 0.165, 1.352, 0.488, 0.349, 0.45, 20
F, 0.49, 0.39, 0.135, 0.5785, 0.2465, 0.123, 0.2, 13
I, 0.29, 0.225, 0.07, 0.101, 0.036, 0.0235, 0.035, 8
M, 0.6, 0.47, 0.155, 1.036, 0.4375, 0.196, 0.325, 20
M, 0.39, 0.3, 0.09, 0.3055, 0.143, 0.0645, 0.085, 9
M, 0.565, 0.455, 0.185, 0.9265, 0.354, 0.1575, 0.375, 16
F, 0.565, 0.455, 0.15, 0.8205, 0.365, 0.159, 0.26, 18
F, 0.645, 0.55, 0.175, 1.2915, 0.57, 0.3045, 0.33, 14
M, 0.575, 0.47, 0.14, 0.8375, 0.3485, 0.1735, 0.24, 11
I, 0.24, 0.185, 0.07, 0.0715, 0.026, 0.018, 0.025, 6
I, 0.175, 0.125, 0.05, 0.0235, 0.0080, 0.0035, 0.0080, 5
M, 0.655, 0.53, 0.195, 1.388, 0.567, 0.2735, 0.41, 13
M, 0.53, 0.415, 0.175, 0.7395, 0.261, 0.1395, 0.2645, 17
F, 0.57, 0.455, 0.165, 1.0595, 0.44, 0.2195, 0.285, 14
M, 0.625, 0.5, 0.195, 1.369, 0.5875, 0.2185, 0.37, 17
F, 0.625, 0.5, 0.15, 0.953, 0.3445, 0.2235, 0.305, 15
F, 0.605, 0.485, 0.165, 1.0105, 0.435, 0.209, 0.3, 19
F, 0.58, 0.44, 0.18, 0.854, 0.3665, 0.1635, 0.245, 12
F, 0.625, 0.485, 0.19, 1.1745, 0.4385, 0.2305, 0.42, 17
M, 0.325, 0.23, 0.09, 0.147, 0.06, 0.034, 0.045, 4
M, 0.155, 0.11, 0.04, 0.0155, 0.0065, 0.0030, 0.0050, 3
F, 0.46, 0.355, 0.13, 0.458, 0.192, 0.1055, 0.13, 13
I, 0.47, 0.37, 0.12, 0.4705, 0.1845, 0.1055, 0.155, 12
I, 0.52, 0.405, 0.14, 0.5775, 0.2, 0.145, 0.179, 11
M, 0.205, 0.155, 0.045, 0.0425, 0.017, 0.0055, 0.0155, 7
I, 0.555, 0.425, 0.18, 0.875, 0.3695, 0.2005, 0.255, 11
I, 0.615, 0.49, 0.155, 0.9885, 0.4145, 0.195, 0.345, 13
I, 0.56, 0.44, 0.165, 0.8, 0.335, 0.1735, 0.25, 12
I, 0.5, 0.385, 0.15, 0.6265, 0.2605, 0.1665, 0.16, 10
I, 0.52, 0.4, 0.145, 0.66, 0.267, 0.1055, 0.22, 13
M, 0.28, 0.21, 0.08, 0.1085, 0.041, 0.0265, 0.0345, 7
I, 0.45, 0.35, 0.14, 0.474, 0.21, 0.109, 0.1275, 16
F, 0.645, 0.525, 0.19, 1.4635, 0.6615, 0.3435, 0.435, 19
I, 0.46, 0.355, 0.14, 0.4935, 0.216, 0.133, 0.115, 13
F, 0.405, 0.31, 0.12, 0.3095, 0.138, 0.058, 0.095, 13
F, 0.385, 0.315, 0.11, 0.286, 0.1225, 0.0635, 0.0835, 10
M, 0.345, 0.27, 0.09, 0.195, 0.078, 0.0455, 0.059, 9
M, 0.31, 0.225, 0.075, 0.1295, 0.0455, 0.0335, 0.044, 9
F, 0.5, 0.385, 0.105, 0.498, 0.1795, 0.1095, 0.17, 17
I, 0.53, 0.415, 0.145, 0.944, 0.3845, 0.185, 0.265, 21
I, 0.445, 0.33, 0.12, 0.347, 0.12, 0.084, 0.105, 11
F, 0.555, 0.435, 0.165, 0.97, 0.336, 0.2315, 0.295, 17
I, 0.65, 0.525, 0.18, 1.626, 0.597, 0.3445, 0.53, 18
F, 0.485, 0.38, 0.15, 0.605, 0.2155, 0.14, 0.18, 15
M, 0.55, 0.425, 0.155, 0.9175, 0.2775, 0.243, 0.335, 13
F, 0.5, 0.375, 0.115, 0.5945, 0.185, 0.148, 0.19, 11
M, 0.535, 0.405, 0.185, 0.8345, 0.3175, 0.1725, 0.29, 16
M, 0.59, 0.44, 0.15, 0.9555, 0.366, 0.2425, 0.295, 11
M, 0.5, 0.375, 0.15, 0.636, 0.2535, 0.145, 0.19, 10
F, 0.43, 0.335, 0.12, 0.444, 0.155, 0.1145, 0.14, 13
F, 0.395, 0.315, 0.105, 0.3515, 0.1185, 0.091, 0.1195, 16
F, 0.48, 0.385, 0.135, 0.536, 0.1895, 0.142, 0.173, 14
F, 0.445, 0.33, 0.105, 0.4525, 0.18, 0.103, 0.123, 9
M, 0.4, 0.3, 0.125, 0.417, 0.191, 0.09, 0.1175, 9
M, 0.36, 0.295, 0.13, 0.2765, 0.0895, 0.057, 0.1005, 10
I, 0.15, 0.1, 0.025, 0.015, 0.0045, 0.0040, 0.0050, 2
I, 0.16, 0.11, 0.025, 0.018, 0.0065, 0.0055, 0.0050, 3
M, 0.555, 0.455, 0.16, 1.0575, 0.3925, 0.228, 0.293, 13
M, 0.505, 0.4, 0.125, 0.77, 0.2735, 0.159, 0.255, 13
F, 0.52, 0.405, 0.125, 0.6435, 0.2415, 0.1735, 0.21, 12
M, 0.535, 0.41, 0.135, 0.862, 0.2855, 0.1525, 0.32, 14
M, 0.53, 0.415, 0.13, 0.8425, 0.275, 0.1945, 0.265, 20
F, 0.53, 0.42, 0.13, 1.001, 0.34, 0.226, 0.265, 17
F, 0.51, 0.39, 0.105, 0.612, 0.187, 0.15, 0.195, 13
F, 0.55, 0.44, 0.155, 0.946, 0.313, 0.1825, 0.335, 16
M, 0.385, 0.275, 0.115, 0.2685, 0.0975, 0.0825, 0.085, 8
M, 0.455, 0.34, 0.135, 0.462, 0.1675, 0.158, 0.12, 9
M, 0.53, 0.41, 0.165, 0.732, 0.189, 0.17, 0.31, 11
M, 0.505, 0.385, 0.145, 0.6775, 0.236, 0.179, 0.2, 15
F, 0.47, 0.36, 0.145, 0.537, 0.1725, 0.1375, 0.195, 15
I, 0.215, 0.155, 0.06, 0.0525, 0.021, 0.0165, 0.015, 5
F, 0.57, 0.465, 0.16, 0.8935, 0.3145, 0.2575, 0.263, 10
M, 0.58, 0.465, 0.16, 1.0345, 0.315, 0.26, 0.3635, 12
M, 0.53, 0.41, 0.155, 0.7155, 0.2805, 0.1685, 0.214, 11
F, 0.425, 0.345, 0.11, 0.3665, 0.125, 0.081, 0.117, 11
M, 0.515, 0.38, 0.135, 0.6615, 0.2875, 0.2095, 0.155, 10
I, 0.395, 0.29, 0.095, 0.304, 0.127, 0.084, 0.077, 6
I, 0.445, 0.335, 0.1, 0.4895, 0.2745, 0.086, 0.1105, 7
I, 0.445, 0.325, 0.1, 0.378, 0.1795, 0.1, 0.089, 7
I, 0.45, 0.35, 0.13, 0.547, 0.245, 0.1405, 0.1405, 8
M, 0.57, 0.435, 0.13, 0.7535, 0.349, 0.1755, 0.194, 10
F, 0.595, 0.475, 0.16, 1.1405, 0.547, 0.231, 0.271, 6
F, 0.595, 0.465, 0.14, 1.113, 0.5175, 0.244, 0.305, 12
M, 0.6, 0.475, 0.175, 1.3445, 0.549, 0.2875, 0.36, 11
F, 0.6, 0.475, 0.155, 1.21, 0.653, 0.1695, 0.3205, 10
M, 0.6, 0.495, 0.175, 1.29, 0.606, 0.276, 0.3445, 11
F, 0.615, 0.5, 0.175, 1.377, 0.5585, 0.33, 0.292, 12
M, 0.62, 0.5, 0.165, 1.307, 0.6355, 0.2545, 0.315, 9
M, 0.63, 0.505, 0.165, 1.26, 0.4525, 0.2755, 0.406, 14
F, 0.67, 0.585, 0.16, 1.309, 0.5445, 0.2945, 0.413, 10
I, 0.24, 0.175, 0.055, 0.0705, 0.025, 0.014, 0.021, 5
I, 0.3, 0.235, 0.08, 0.131, 0.05, 0.0265, 0.043, 4
I, 0.315, 0.235, 0.075, 0.1485, 0.0585, 0.0375, 0.0425, 6
I, 0.34, 0.25, 0.07, 0.2225, 0.104, 0.0425, 0.055, 7
I, 0.42, 0.315, 0.1, 0.3435, 0.157, 0.0795, 0.09, 6
F, 0.445, 0.335, 0.11, 0.4355, 0.2025, 0.1095, 0.1195, 6
I, 0.445, 0.35, 0.13, 0.4195, 0.1695, 0.0945, 0.1195, 7
I, 0.45, 0.345, 0.11, 0.47, 0.2355, 0.0855, 0.1135, 7
M, 0.495, 0.4, 0.135, 0.61, 0.272, 0.1435, 0.144, 7
I, 0.505, 0.39, 0.15, 0.685, 0.362, 0.131, 0.156, 8
I, 0.505, 0.355, 0.125, 0.601, 0.25, 0.1205, 0.185, 8
F, 0.53, 0.425, 0.15, 0.8495, 0.328, 0.232, 0.202, 8
F, 0.55, 0.43, 0.14, 0.8105, 0.368, 0.161, 0.275, 9
M, 0.57, 0.45, 0.155, 1.1935, 0.513, 0.21, 0.343, 10
M, 0.57, 0.445, 0.14, 1.0635, 0.5265, 0.2195, 0.24, 8
M, 0.57, 0.46, 0.17, 0.9035, 0.4075, 0.1935, 0.214, 7
F, 0.58, 0.45, 0.145, 1.137, 0.5585, 0.22, 0.29, 8
F, 0.595, 0.46, 0.14, 1.0045, 0.4655, 0.2095, 0.2515, 9
F, 0.625, 0.5, 0.165, 1.288, 0.573, 0.3035, 0.315, 9
M, 0.63, 0.485, 0.155, 1.278, 0.637, 0.275, 0.31, 8
M, 0.63, 0.48, 0.15, 1.1785, 0.5185, 0.248, 0.3235, 8
M, 0.64, 0.505, 0.155, 1.4025, 0.705, 0.2655, 0.335, 10
F, 0.64, 0.5, 0.175, 1.394, 0.4935, 0.291, 0.4, 10
F, 0.645, 0.515, 0.15, 1.212, 0.515, 0.2055, 0.385, 10
M, 0.65, 0.525, 0.185, 1.622, 0.6645, 0.3225, 0.477, 10
F, 0.655, 0.51, 0.175, 1.6525, 0.8515, 0.3365, 0.403, 10
F, 0.66, 0.475, 0.18, 1.3695, 0.641, 0.294, 0.335, 6
F, 0.705, 0.535, 0.18, 1.685, 0.693, 0.42, 0.4045, 12
I, 0.185, 0.13, 0.045, 0.029, 0.012, 0.0075, 0.0095, 4
I, 0.265, 0.195, 0.055, 0.084, 0.0365, 0.0175, 0.025, 7
I, 0.285, 0.22, 0.065, 0.096, 0.0405, 0.0205, 0.03, 5
I, 0.315, 0.235, 0.055, 0.151, 0.065, 0.027, 0.039, 6
I, 0.32, 0.225, 0.085, 0.1415, 0.0675, 0.0295, 0.0405, 6
I, 0.37, 0.28, 0.1, 0.221, 0.1165, 0.0265, 0.0635, 6
I, 0.385, 0.29, 0.08, 0.2485, 0.122, 0.0495, 0.065, 7
I, 0.42, 0.3, 0.105, 0.316, 0.1255, 0.07, 0.1035, 7
I, 0.44, 0.33, 0.11, 0.3705, 0.1545, 0.084, 0.12, 7
I, 0.45, 0.33, 0.1, 0.411, 0.1945, 0.1, 0.098, 6
M, 0.47, 0.36, 0.105, 0.544, 0.27, 0.1395, 0.129, 7
I, 0.475, 0.35, 0.11, 0.4565, 0.206, 0.099, 0.13, 6
I, 0.5, 0.375, 0.12, 0.542, 0.215, 0.116, 0.17, 9
I, 0.51, 0.4, 0.125, 0.5575, 0.2615, 0.1195, 0.1525, 9
M, 0.545, 0.39, 0.135, 0.7835, 0.4225, 0.1815, 0.156, 7
F, 0.55, 0.415, 0.135, 0.8145, 0.427, 0.1855, 0.175, 8
M, 0.55, 0.425, 0.15, 0.8315, 0.411, 0.1765, 0.2165, 10
M, 0.565, 0.455, 0.15, 0.9595, 0.4565, 0.2395, 0.23, 9
F, 0.575, 0.47, 0.165, 0.869, 0.435, 0.197, 0.238, 9
M, 0.59, 0.47, 0.15, 0.9955, 0.481, 0.232, 0.24, 8
F, 0.6, 0.475, 0.16, 1.0265, 0.485, 0.2495, 0.2565, 9
F, 0.605, 0.47, 0.165, 1.1775, 0.611, 0.2275, 0.292, 9
M, 0.605, 0.48, 0.17, 1.1835, 0.582, 0.2365, 0.317, 10
M, 0.61, 0.485, 0.145, 1.3305, 0.783, 0.2255, 0.2865, 9
F, 0.615, 0.465, 0.15, 0.923, 0.4615, 0.1825, 0.2415, 9
M, 0.62, 0.45, 0.2, 0.858, 0.4285, 0.1525, 0.2405, 8
M, 0.665, 0.525, 0.16, 1.363, 0.629, 0.279, 0.34, 8
F, 0.67, 0.505, 0.205, 1.3645, 0.6075, 0.3025, 0.353, 9
F, 0.705, 0.55, 0.17, 1.219, 0.6395, 0.236, 0.301, 9
F, 0.71, 0.56, 0.18, 1.652, 0.735, 0.381, 0.4525, 11
M, 0.715, 0.535, 0.19, 1.6755, 0.889, 0.313, 0.42, 10
F, 0.73, 0.575, 0.185, 1.8795, 0.931, 0.38, 0.4825, 12
I, 0.275, 0.195, 0.09, 0.1125, 0.0545, 0.0295, 0.0355, 6
I, 0.35, 0.27, 0.075, 0.215, 0.1, 0.036, 0.065, 6
I, 0.365, 0.265, 0.085, 0.213, 0.0945, 0.049, 0.06, 7
I, 0.375, 0.28, 0.08, 0.2025, 0.0825, 0.048, 0.065, 8
I, 0.38, 0.275, 0.11, 0.256, 0.11, 0.0535, 0.0755, 6
I, 0.39, 0.3, 0.095, 0.3265, 0.1665, 0.0575, 0.089, 7
I, 0.4, 0.29, 0.1, 0.2675, 0.1205, 0.0605, 0.0765, 5
F, 0.46, 0.365, 0.125, 0.4785, 0.206, 0.1045, 0.141, 8
I, 0.465, 0.34, 0.11, 0.346, 0.1425, 0.073, 0.113, 11
I, 0.48, 0.355, 0.115, 0.4725, 0.2065, 0.112, 0.132, 8
I, 0.48, 0.365, 0.1, 0.461, 0.2205, 0.0835, 0.135, 8
I, 0.525, 0.4, 0.125, 0.6965, 0.369, 0.1385, 0.164, 9
I, 0.53, 0.42, 0.155, 0.81, 0.4725, 0.111, 0.192, 10
I, 0.53, 0.425, 0.13, 0.7675, 0.419, 0.1205, 0.21, 9
I, 0.54, 0.42, 0.14, 0.7265, 0.3205, 0.1445, 0.229, 9
I, 0.55, 0.43, 0.145, 0.7895, 0.3745, 0.171, 0.223, 11
M, 0.55, 0.43, 0.15, 0.8745, 0.413, 0.1905, 0.248, 9
I, 0.55, 0.425, 0.135, 0.7305, 0.3325, 0.1545, 0.215, 9
I, 0.555, 0.43, 0.155, 0.7395, 0.3135, 0.1435, 0.28, 10
I, 0.56, 0.425, 0.135, 0.8205, 0.3715, 0.185, 0.236, 9
I, 0.56, 0.425, 0.145, 0.688, 0.3095, 0.1305, 0.2165, 9
F, 0.56, 0.445, 0.155, 1.224, 0.5565, 0.3225, 0.2695, 10
I, 0.565, 0.44, 0.175, 0.8735, 0.414, 0.21, 0.21, 11
M, 0.565, 0.445, 0.15, 0.796, 0.3635, 0.184, 0.219, 8
I, 0.57, 0.45, 0.145, 0.751, 0.2825, 0.2195, 0.2215, 10
F, 0.57, 0.46, 0.135, 0.9795, 0.397, 0.2525, 0.2655, 9
F, 0.575, 0.42, 0.135, 0.857, 0.461, 0.147, 0.2125, 10
M, 0.585, 0.465, 0.155, 0.9145, 0.4555, 0.1965, 0.235, 9
F, 0.6, 0.455, 0.145, 0.8895, 0.419, 0.1715, 0.269, 10
M, 0.61, 0.475, 0.17, 1.0265, 0.435, 0.2335, 0.3035, 10
I, 0.61, 0.465, 0.15, 0.9605, 0.4495, 0.1725, 0.286, 9
M, 0.61, 0.48, 0.17, 1.137, 0.4565, 0.29, 0.347, 10
F, 0.615, 0.475, 0.155, 1.004, 0.4475, 0.193, 0.2895, 10
F, 0.625, 0.48, 0.155, 1.2035, 0.5865, 0.239, 0.3185, 12
F, 0.63, 0.485, 0.17, 1.3205, 0.5945, 0.345, 0.345, 9
M, 0.635, 0.49, 0.16, 1.101, 0.534, 0.1865, 0.3455, 10
F, 0.635, 0.495, 0.175, 1.211, 0.707, 0.2725, 0.323, 9
M, 0.65, 0.51, 0.19, 1.542, 0.7155, 0.3735, 0.375, 9
M, 0.655, 0.535, 0.205, 1.6445, 0.7305, 0.3595, 0.46, 13
F, 0.66, 0.515, 0.17, 1.337, 0.615, 0.3125, 0.3575, 10
F, 0.67, 0.53, 0.225, 1.5615, 0.63, 0.487, 0.3725, 11
F, 0.67, 0.505, 0.175, 1.0145, 0.4375, 0.271, 0.3745, 10
M, 0.72, 0.575, 0.215, 2.173, 0.9515, 0.564, 0.5365, 12
F, 0.735, 0.565, 0.205, 2.1275, 0.949, 0.46, 0.565, 12
I, 0.395, 0.295, 0.09, 0.3025, 0.143, 0.0665, 0.0765, 5
I, 0.43, 0.34, 0.105, 0.4405, 0.2385, 0.0745, 0.1075, 6
I, 0.455, 0.335, 0.135, 0.501, 0.274, 0.0995, 0.1065, 7
I, 0.47, 0.345, 0.14, 0.4615, 0.229, 0.1105, 0.116, 9
I, 0.47, 0.355, 0.12, 0.3685, 0.126, 0.0835, 0.1365, 6
I, 0.48, 0.36, 0.125, 0.542, 0.2795, 0.1025, 0.147, 7
I, 0.515, 0.395, 0.125, 0.556, 0.2695, 0.096, 0.17, 8
M, 0.53, 0.4, 0.125, 0.7575, 0.398, 0.151, 0.175, 8
M, 0.6, 0.465, 0.2, 1.259, 0.6405, 0.1985, 0.357, 9
I, 0.615, 0.475, 0.13, 0.8425, 0.353, 0.1915, 0.251, 8
F, 0.63, 0.5, 0.175, 1.1105, 0.467, 0.268, 0.329, 10
F, 0.64, 0.515, 0.205, 1.5335, 0.6635, 0.3345, 0.4025, 9
F, 0.65, 0.545, 0.175, 1.5245, 0.59, 0.326, 0.495, 10
M, 0.65, 0.515, 0.175, 1.466, 0.677, 0.3045, 0.4, 10
F, 0.65, 0.5, 0.16, 1.3825, 0.702, 0.304, 0.3195, 9
M, 0.655, 0.51, 0.215, 1.7835, 0.8885, 0.4095, 0.4195, 11
F, 0.665, 0.515, 0.18, 1.389, 0.5945, 0.324, 0.395, 10
M, 0.725, 0.575, 0.24, 2.21, 1.351, 0.413, 0.5015, 13
I, 0.21, 0.17, 0.045, 0.0475, 0.019, 0.011, 0.013, 5
I, 0.35, 0.26, 0.075, 0.18, 0.09, 0.0245, 0.055, 5
I, 0.36, 0.265, 0.075, 0.1845, 0.083, 0.0365, 0.055, 7
I, 0.39, 0.285, 0.1, 0.281, 0.1275, 0.062, 0.077, 7
I, 0.515, 0.36, 0.125, 0.4725, 0.1815, 0.125, 0.138, 9
I, 0.525, 0.39, 0.12, 0.664, 0.3115, 0.147, 0.178, 9
I, 0.53, 0.4, 0.145, 0.555, 0.1935, 0.1305, 0.195, 9
I, 0.54, 0.43, 0.17, 0.836, 0.3725, 0.1815, 0.24, 9
M, 0.54, 0.455, 0.14, 0.972, 0.419, 0.255, 0.269, 10
I, 0.54, 0.42, 0.14, 0.6275, 0.2505, 0.1175, 0.235, 9
I, 0.54, 0.425, 0.135, 0.686, 0.3475, 0.1545, 0.213, 8
M, 0.55, 0.435, 0.14, 0.7625, 0.327, 0.1685, 0.259, 10
I, 0.55, 0.425, 0.15, 0.639, 0.269, 0.1345, 0.217, 9
I, 0.55, 0.415, 0.145, 0.7815, 0.373, 0.16, 0.2215, 8
F, 0.565, 0.44, 0.15, 0.863, 0.435, 0.149, 0.27, 9
M, 0.565, 0.44, 0.125, 0.802, 0.3595, 0.1825, 0.215, 9
I, 0.57, 0.435, 0.17, 0.848, 0.4, 0.166, 0.25, 9
I, 0.57, 0.445, 0.155, 0.867, 0.3705, 0.1705, 0.28, 9
I, 0.575, 0.45, 0.125, 0.78, 0.3275, 0.188, 0.235, 9
F, 0.58, 0.435, 0.15, 0.834, 0.428, 0.1515, 0.23, 8
M, 0.58, 0.43, 0.13, 0.798, 0.365, 0.173, 0.2285, 10
F, 0.6, 0.46, 0.155, 0.9735, 0.427, 0.2045, 0.3, 8
M, 0.605, 0.475, 0.145, 0.884, 0.3835, 0.1905, 0.27, 8
F, 0.61, 0.465, 0.16, 1.0725, 0.4835, 0.2515, 0.28, 10
M, 0.61, 0.47, 0.16, 1.022, 0.449, 0.2345, 0.2945, 9
F, 0.61, 0.475, 0.16, 1.1155, 0.3835, 0.223, 0.379, 10
M, 0.615, 0.47, 0.16, 1.0175, 0.473, 0.2395, 0.28, 10
I, 0.62, 0.47, 0.14, 0.8565, 0.3595, 0.16, 0.295, 9
M, 0.625, 0.49, 0.165, 1.1165, 0.4895, 0.2615, 0.3325, 11
F, 0.63, 0.5, 0.18, 1.1965, 0.514, 0.2325, 0.3995, 8
M, 0.63, 0.49, 0.17, 1.1745, 0.5255, 0.273, 0.339, 11
M, 0.63, 0.495, 0.175, 1.2695, 0.605, 0.271, 0.328, 11
F, 0.635, 0.49, 0.17, 1.2615, 0.5385, 0.2665, 0.38, 9
M, 0.645, 0.51, 0.16, 1.33, 0.6665, 0.309, 0.317, 9
M, 0.645, 0.485, 0.15, 1.2215, 0.5695, 0.2735, 0.33, 9
M, 0.67, 0.52, 0.165, 1.39, 0.711, 0.2865, 0.3, 11
M, 0.735, 0.59, 0.215, 1.747, 0.7275, 0.403, 0.557, 11
M, 0.77, 0.62, 0.195, 2.5155, 1.1155, 0.6415, 0.642, 12
