@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
F, 0.4, 0.32, 0.11, 0.353, 0.1405, 0.0985, 0.1, 8
F, 0.46, 0.355, 0.13, 0.517, 0.2205, 0.114, 0.165, 9
F, 0.575, 0.45, 0.16, 0.9775, 0.3135, 0.231, 0.33, 12
M, 0.595, 0.465, 0.175, 1.115, 0.4015, 0.254, 0.39, 13
M, 0.47, 0.375, 0.13, 0.523, 0.214, 0.132, 0.145, 8
M, 0.55, 0.435, 0.145, 0.843, 0.328, 0.1915, 0.255, 15
M, 0.605, 0.47, 0.16, 1.1735, 0.4975, 0.2405, 0.345, 12
F, 0.51, 0.39, 0.135, 0.6335, 0.231, 0.179, 0.2, 9
M, 0.495, 0.395, 0.125, 0.5415, 0.2375, 0.1345, 0.155, 9
M, 0.465, 0.36, 0.105, 0.431, 0.172, 0.107, 0.175, 9
F, 0.53, 0.415, 0.115, 0.5915, 0.233, 0.1585, 0.18, 11
M, 0.405, 0.305, 0.085, 0.2605, 0.1145, 0.0595, 0.085, 8
I, 0.36, 0.28, 0.08, 0.1755, 0.081, 0.0505, 0.07, 6
M, 0.7, 0.535, 0.16, 1.7255, 0.63, 0.2635, 0.54, 19
M, 0.375, 0.285, 0.095, 0.253, 0.096, 0.0575, 0.0925, 9
I, 0.175, 0.13, 0.055, 0.0315, 0.0105, 0.0065, 0.0125, 5
M, 0.59, 0.475, 0.145, 1.053, 0.4415, 0.262, 0.325, 15
F, 0.565, 0.45, 0.135, 0.9885, 0.387, 0.1495, 0.31, 12
F, 0.63, 0.48, 0.15, 1.0525, 0.392, 0.336, 0.285, 12
F, 0.585, 0.46, 0.17, 0.9325, 0.365, 0.271, 0.29, 9
M, 0.61, 0.485, 0.17, 1.0225, 0.419, 0.2405, 0.36, 12
I, 0.355, 0.275, 0.085, 0.22, 0.092, 0.06, 0.15, 8
M, 0.56, 0.45, 0.16, 0.922, 0.432, 0.178, 0.26, 15
M, 0.585, 0.46, 0.185, 0.922, 0.3635, 0.213, 0.285, 10
F, 0.45, 0.345, 0.12, 0.4165, 0.1655, 0.095, 0.135, 9
M, 0.5, 0.4, 0.165, 0.825, 0.254, 0.205, 0.285, 13
I, 0.37, 0.28, 0.095, 0.2655, 0.122, 0.052, 0.08, 7
M, 0.335, 0.25, 0.09, 0.181, 0.0755, 0.0415, 0.06, 7
F, 0.485, 0.395, 0.16, 0.66, 0.2475, 0.128, 0.235, 14
M, 0.47, 0.36, 0.135, 0.501, 0.1665, 0.115, 0.165, 10
F, 0.415, 0.305, 0.13, 0.32, 0.1305, 0.0755, 0.105, 8
F, 0.445, 0.325, 0.125, 0.455, 0.1785, 0.1125, 0.14, 9
F, 0.49, 0.375, 0.15, 0.5755, 0.22, 0.144, 0.19, 9
F, 0.5, 0.37, 0.135, 0.45, 0.1715, 0.1055, 0.155, 9
I, 0.365, 0.27, 0.085, 0.205, 0.078, 0.0485, 0.07, 7
M, 0.555, 0.445, 0.135, 0.836, 0.336, 0.1625, 0.275, 13
M, 0.625, 0.505, 0.215, 1.4455, 0.496, 0.287, 0.435, 22
I, 0.3, 0.23, 0.08, 0.1275, 0.0435, 0.0265, 0.04, 8
I, 0.305, 0.245, 0.075, 0.156, 0.0675, 0.038, 0.045, 7
F, 0.635, 0.505, 0.17, 1.415, 0.605, 0.297, 0.365, 15
F, 0.515, 0.425, 0.135, 0.712, 0.2665, 0.1605, 0.25, 11
M, 0.53, 0.435, 0.155, 0.699, 0.288, 0.1595, 0.205, 10
F, 0.495, 0.4, 0.155, 0.6445, 0.242, 0.1325, 0.205, 17
F, 0.565, 0.505, 0.21, 1.2765, 0.501, 0.279, 0.355, 12
F, 0.565, 0.455, 0.175, 1.013, 0.342, 0.207, 0.35, 19
M, 0.49, 0.395, 0.14, 0.549, 0.2215, 0.1275, 0.15, 11
M, 0.57, 0.435, 0.145, 0.9055, 0.3925, 0.2355, 0.275, 10
F, 0.63, 0.485, 0.19, 1.2435, 0.4635, 0.3055, 0.39, 21
M, 0.45, 0.35, 0.1, 0.3675, 0.1465, 0.1015, 0.12, 10
F, 0.58, 0.455, 0.155, 0.8365, 0.315, 0.1385, 0.32, 18
I, 0.33, 0.255, 0.095, 0.172, 0.066, 0.0255, 0.06, 6
I, 0.355, 0.275, 0.09, 0.251, 0.097, 0.053, 0.08, 7
I, 0.3, 0.22, 0.08, 0.121, 0.0475, 0.042, 0.035, 5
I, 0.235, 0.175, 0.04, 0.0705, 0.0335, 0.015, 0.02, 5
M, 0.49, 0.39, 0.14, 0.707, 0.2795, 0.2185, 0.18, 13
I, 0.34, 0.26, 0.08, 0.2, 0.08, 0.0555, 0.055, 6
I, 0.375, 0.305, 0.115, 0.2715, 0.092, 0.074, 0.09, 8
M, 0.57, 0.46, 0.14, 0.9535, 0.4465, 0.2065, 0.245, 12
M, 0.635, 0.515, 0.17, 1.275, 0.509, 0.286, 0.34, 16
F, 0.59, 0.465, 0.15, 0.997, 0.392, 0.246, 0.34, 12
F, 0.6, 0.48, 0.15, 1.029, 0.4085, 0.2705, 0.295, 16
M, 0.63, 0.515, 0.16, 1.016, 0.4215, 0.244, 0.355, 19
F, 0.58, 0.455, 0.12, 1.0735, 0.479, 0.2735, 0.265, 10
F, 0.7, 0.575, 0.17, 1.31, 0.5095, 0.314, 0.42, 14
M, 0.605, 0.47, 0.18, 1.1405, 0.3755, 0.2805, 0.385, 15
F, 0.455, 0.37, 0.105, 0.4925, 0.216, 0.1245, 0.135, 9
M, 0.54, 0.42, 0.155, 0.7385, 0.3515, 0.152, 0.215, 12
M, 0.47, 0.38, 0.145, 0.5865, 0.2385, 0.144, 0.185, 8
F, 0.485, 0.365, 0.12, 0.5885, 0.27, 0.131, 0.175, 9
M, 0.59, 0.485, 0.12, 0.911, 0.39, 0.182, 0.29, 16
F, 0.605, 0.495, 0.17, 1.2385, 0.528, 0.2465, 0.39, 14
F, 0.62, 0.47, 0.14, 1.0325, 0.3605, 0.224, 0.36, 15
I, 0.49, 0.38, 0.12, 0.529, 0.2165, 0.139, 0.155, 11
M, 0.6, 0.5, 0.16, 1.015, 0.3995, 0.1735, 0.33, 19
F, 0.57, 0.45, 0.175, 0.9555, 0.38, 0.1665, 0.295, 18
I, 0.385, 0.305, 0.095, 0.252, 0.0915, 0.055, 0.09, 14
M, 0.5, 0.415, 0.165, 0.6885, 0.249, 0.138, 0.25, 13
I, 0.335, 0.26, 0.1, 0.192, 0.0785, 0.0585, 0.07, 8
I, 0.395, 0.295, 0.1, 0.2715, 0.134, 0.0325, 0.085, 10
F, 0.41, 0.325, 0.105, 0.3635, 0.159, 0.077, 0.12, 10
I, 0.36, 0.28, 0.105, 0.199, 0.0695, 0.045, 0.08, 9
F, 0.585, 0.465, 0.17, 0.9915, 0.3865, 0.224, 0.265, 12
I, 0.255, 0.195, 0.07, 0.0735, 0.0255, 0.02, 0.025, 6
F, 0.67, 0.55, 0.19, 1.3905, 0.5425, 0.3035, 0.4, 12
M, 0.66, 0.545, 0.185, 1.32, 0.5305, 0.2635, 0.455, 16
M, 0.575, 0.4, 0.155, 0.9325, 0.3605, 0.2445, 0.3, 17
F, 0.585, 0.465, 0.14, 0.908, 0.381, 0.1615, 0.315, 13
M, 0.55, 0.45, 0.13, 0.92, 0.378, 0.2385, 0.29, 11
M, 0.54, 0.42, 0.135, 0.8075, 0.3485, 0.1795, 0.235, 11
M, 0.58, 0.46, 0.13, 0.921, 0.357, 0.181, 0.29, 13
F, 0.655, 0.51, 0.155, 1.2895, 0.5345, 0.2855, 0.41, 11
M, 0.555, 0.45, 0.175, 0.874, 0.3275, 0.202, 0.305, 10
M, 0.56, 0.46, 0.235, 0.8395, 0.3325, 0.157, 0.305, 12
M, 0.4, 0.29, 0.115, 0.2795, 0.1115, 0.0575, 0.075, 9
M, 0.21, 0.15, 0.05, 0.0385, 0.0155, 0.0085, 0.01, 3
I, 0.365, 0.26, 0.115, 0.218, 0.0935, 0.0445, 0.07, 9
I, 0.47, 0.37, 0.14, 0.4985, 0.2095, 0.1225, 0.145, 10
I, 0.465, 0.38, 0.13, 0.454, 0.1895, 0.08, 0.155, 11
M, 0.275, 0.205, 0.07, 0.094, 0.0335, 0.02, 0.0325, 5
I, 0.485, 0.39, 0.125, 0.591, 0.287, 0.141, 0.12, 9
I, 0.525, 0.405, 0.15, 0.795, 0.3075, 0.205, 0.255, 14
F, 0.66, 0.53, 0.17, 1.326, 0.519, 0.2625, 0.44, 13
M, 0.35, 0.255, 0.065, 0.179, 0.0705, 0.0385, 0.06, 10
F, 0.41, 0.32, 0.115, 0.387, 0.165, 0.1005, 0.0985, 11
F, 0.59, 0.455, 0.155, 1.066, 0.382, 0.2275, 0.415, 20
I, 0.56, 0.425, 0.14, 0.9175, 0.4005, 0.1975, 0.26, 10
F, 0.625, 0.49, 0.175, 1.233, 0.5565, 0.247, 0.365, 11
I, 0.55, 0.425, 0.15, 0.806, 0.376, 0.171, 0.245, 14
I, 0.495, 0.39, 0.125, 0.6655, 0.284, 0.162, 0.2, 11
I, 0.575, 0.455, 0.18, 0.8525, 0.3015, 0.1825, 0.3, 13
I, 0.47, 0.345, 0.115, 0.4885, 0.2005, 0.108, 0.166, 11
F, 0.44, 0.345, 0.17, 0.4085, 0.15, 0.0825, 0.1515, 12
I, 0.485, 0.38, 0.14, 0.673, 0.2175, 0.13, 0.195, 18
I, 0.465, 0.36, 0.105, 0.498, 0.214, 0.116, 0.14, 15
M, 0.355, 0.26, 0.085, 0.1905, 0.081, 0.0485, 0.055, 6
I, 0.44, 0.345, 0.12, 0.487, 0.1965, 0.108, 0.16, 14
I, 0.335, 0.245, 0.09, 0.1665, 0.0595, 0.04, 0.06, 6
F, 0.585, 0.475, 0.185, 0.9585, 0.4145, 0.1615, 0.33, 11
F, 0.415, 0.34, 0.13, 0.3675, 0.146, 0.0885, 0.12, 10
F, 0.5, 0.38, 0.155, 0.655, 0.2405, 0.143, 0.205, 17
F, 0.49, 0.385, 0.15, 0.7865, 0.241, 0.14, 0.24, 23
I, 0.37, 0.275, 0.1, 0.2295, 0.0885, 0.0465, 0.07, 7
F, 0.535, 0.4, 0.15, 0.8045, 0.3345, 0.2125, 0.21, 13
M, 0.38, 0.29, 0.12, 0.283, 0.1175, 0.0655, 0.085, 9
M, 0.415, 0.325, 0.14, 0.417, 0.1535, 0.1015, 0.144, 10
M, 0.375, 0.3, 0.1, 0.2465, 0.104, 0.0475, 0.083, 11
I, 0.275, 0.2, 0.065, 0.1035, 0.0475, 0.0205, 0.03, 7
M, 0.4, 0.305, 0.085, 0.297, 0.108, 0.0705, 0.1, 10
F, 0.52, 0.4, 0.12, 0.6515, 0.261, 0.2015, 0.165, 15
M, 0.505, 0.38, 0.13, 0.656, 0.227, 0.1785, 0.22, 13
F, 0.58, 0.455, 0.165, 1.1365, 0.369, 0.3005, 0.275, 13
M, 0.65, 0.515, 0.175, 1.4805, 0.5295, 0.272, 0.525, 20
M, 0.585, 0.405, 0.15, 1.2565, 0.435, 0.202, 0.325, 15
F, 0.61, 0.47, 0.145, 1.153, 0.403, 0.296, 0.32, 14
M, 0.345, 0.27, 0.095, 0.197, 0.0665, 0.05, 0.07, 9
M, 0.49, 0.38, 0.14, 0.6385, 0.2305, 0.142, 0.195, 13
M, 0.465, 0.35, 0.14, 0.5755, 0.2015, 0.1505, 0.19, 15
M, 0.515, 0.435, 0.145, 0.8815, 0.292, 0.206, 0.255, 10
M, 0.575, 0.45, 0.165, 0.9215, 0.3275, 0.225, 0.256, 12
M, 0.515, 0.405, 0.145, 0.695, 0.215, 0.1635, 0.234, 15
M, 0.52, 0.42, 0.16, 0.745, 0.255, 0.157, 0.2885, 11
M, 0.46, 0.34, 0.135, 0.495, 0.1655, 0.117, 0.185, 10
M, 0.45, 0.335, 0.125, 0.349, 0.119, 0.1055, 0.115, 10
M, 0.425, 0.33, 0.13, 0.4405, 0.152, 0.0935, 0.155, 9
I, 0.37, 0.275, 0.1, 0.22, 0.094, 0.045, 0.065, 7
F, 0.49, 0.365, 0.13, 0.6835, 0.165, 0.1315, 0.205, 21
I, 0.325, 0.25, 0.08, 0.1735, 0.0765, 0.0345, 0.049, 7
I, 0.335, 0.25, 0.08, 0.183, 0.0735, 0.04, 0.0575, 6
I, 0.35, 0.25, 0.07, 0.18, 0.0655, 0.048, 0.054, 6
I, 0.385, 0.3, 0.1, 0.2895, 0.1215, 0.063, 0.09, 7
I, 0.4, 0.31, 0.1, 0.306, 0.13, 0.06, 0.094, 6
I, 0.41, 0.325, 0.1, 0.394, 0.208, 0.0655, 0.106, 6
I, 0.425, 0.325, 0.1, 0.398, 0.1185, 0.0645, 0.0945, 6
F, 0.48, 0.365, 0.135, 0.6395, 0.2945, 0.113, 0.175, 8
I, 0.485, 0.355, 0.105, 0.498, 0.2175, 0.096, 0.1525, 9
M, 0.49, 0.385, 0.125, 0.609, 0.3065, 0.096, 0.1775, 8
M, 0.57, 0.455, 0.15, 0.952, 0.3895, 0.2155, 0.2745, 9
F, 0.595, 0.48, 0.15, 1.11, 0.498, 0.228, 0.33, 10
F, 0.595, 0.48, 0.16, 1.2095, 0.5225, 0.296, 0.32, 8
F, 0.615, 0.52, 0.15, 1.3435, 0.629, 0.2605, 0.345, 10
F, 0.62, 0.505, 0.16, 1.3725, 0.6285, 0.275, 0.3685, 11
M, 0.635, 0.51, 0.17, 1.3555, 0.619, 0.305, 0.39, 9
F, 0.635, 0.5, 0.15, 1.376, 0.6495, 0.361, 0.31, 10
F, 0.635, 0.485, 0.165, 1.2945, 0.668, 0.2605, 0.2715, 9
M, 0.65, 0.525, 0.175, 1.4715, 0.675, 0.315, 0.399, 11
F, 0.68, 0.56, 0.195, 1.7775, 0.861, 0.322, 0.415, 11
I, 0.255, 0.19, 0.05, 0.083, 0.0295, 0.0215, 0.027, 6
I, 0.255, 0.18, 0.055, 0.083, 0.031, 0.0215, 0.02, 4
I, 0.265, 0.195, 0.06, 0.092, 0.0345, 0.025, 0.0245, 6
I, 0.315, 0.23, 0.07, 0.144, 0.053, 0.0305, 0.04, 8
I, 0.33, 0.265, 0.085, 0.196, 0.0775, 0.0305, 0.0445, 6
I, 0.435, 0.34, 0.115, 0.3925, 0.1825, 0.078, 0.1145, 6
I, 0.44, 0.345, 0.13, 0.4495, 0.209, 0.0835, 0.134, 6
I, 0.44, 0.325, 0.09, 0.35, 0.148, 0.067, 0.105, 7
I, 0.46, 0.36, 0.1, 0.4635, 0.2325, 0.093, 0.115, 7
I, 0.465, 0.365, 0.115, 0.467, 0.2315, 0.0925, 0.113, 7
F, 0.465, 0.35, 0.125, 0.482, 0.23, 0.106, 0.1095, 6
M, 0.48, 0.36, 0.1, 0.439, 0.194, 0.099, 0.115, 8
F, 0.485, 0.37, 0.115, 0.4785, 0.1995, 0.0955, 0.129, 7
M, 0.5, 0.39, 0.135, 0.6595, 0.3145, 0.1535, 0.1565, 6
M, 0.51, 0.39, 0.135, 0.769, 0.3935, 0.1455, 0.19, 8
F, 0.535, 0.4, 0.135, 0.8215, 0.3935, 0.196, 0.205, 8
M, 0.58, 0.455, 0.15, 1.012, 0.4985, 0.2115, 0.2835, 10
M, 0.58, 0.49, 0.13, 1.1335, 0.586, 0.2565, 0.237, 9
F, 0.59, 0.455, 0.145, 1.063, 0.5155, 0.2445, 0.25, 8
M, 0.605, 0.47, 0.165, 1.2315, 0.6025, 0.262, 0.2925, 11
M, 0.625, 0.49, 0.175, 1.3325, 0.5705, 0.271, 0.405, 10
F, 0.63, 0.495, 0.165, 1.3075, 0.599, 0.284, 0.315, 11
M, 0.645, 0.52, 0.175, 1.561, 0.709, 0.3555, 0.4, 8
F, 0.66, 0.505, 0.185, 1.528, 0.69, 0.3025, 0.441, 11
F, 0.675, 0.565, 0.195, 1.8375, 0.7645, 0.3615, 0.553, 12
M, 0.71, 0.565, 0.205, 2.198, 1.012, 0.5225, 0.5475, 11
I, 0.195, 0.135, 0.04, 0.0325, 0.0135, 0.0050, 0.0095, 4
I, 0.375, 0.275, 0.1, 0.2325, 0.1165, 0.042, 0.065, 6
I, 0.42, 0.32, 0.11, 0.3625, 0.174, 0.0635, 0.105, 7
I, 0.445, 0.345, 0.105, 0.409, 0.1675, 0.1015, 0.117, 7
I, 0.45, 0.365, 0.125, 0.462, 0.2135, 0.0985, 0.1315, 8
I, 0.48, 0.38, 0.125, 0.6245, 0.3395, 0.1085, 0.1665, 8
I, 0.5, 0.38, 0.125, 0.519, 0.2485, 0.1135, 0.134, 8
I, 0.51, 0.38, 0.115, 0.5155, 0.215, 0.1135, 0.166, 8
I, 0.515, 0.385, 0.125, 0.6115, 0.3175, 0.1265, 0.15, 8
I, 0.52, 0.38, 0.135, 0.5395, 0.2295, 0.133, 0.157, 8
F, 0.52, 0.46, 0.15, 1.019, 0.523, 0.1985, 0.254, 7
I, 0.525, 0.4, 0.14, 0.601, 0.2625, 0.1285, 0.1835, 9
I, 0.525, 0.395, 0.12, 0.608, 0.297, 0.1395, 0.1405, 8
F, 0.55, 0.43, 0.15, 0.84, 0.395, 0.195, 0.223, 8
M, 0.575, 0.445, 0.145, 0.847, 0.415, 0.1945, 0.22, 9
M, 0.61, 0.485, 0.16, 1.0145, 0.5315, 0.212, 0.2415, 8
M, 0.61, 0.47, 0.165, 1.052, 0.498, 0.242, 0.267, 9
F, 0.645, 0.48, 0.17, 1.1345, 0.528, 0.254, 0.305, 10
M, 0.655, 0.515, 0.16, 1.31, 0.553, 0.369, 0.345, 11
F, 0.66, 0.53, 0.185, 1.346, 0.546, 0.2705, 0.476, 11
M, 0.685, 0.52, 0.165, 1.519, 0.699, 0.3685, 0.4, 10
F, 0.69, 0.54, 0.155, 1.454, 0.624, 0.3105, 0.39, 9
F, 0.69, 0.53, 0.17, 1.5535, 0.7945, 0.3485, 0.3695, 9
M, 0.695, 0.56, 0.185, 1.74, 0.885, 0.3715, 0.4375, 10
M, 0.7, 0.565, 0.18, 1.751, 0.895, 0.3355, 0.446, 9
F, 0.7, 0.525, 0.19, 1.6465, 0.8545, 0.307, 0.3995, 9
M, 0.715, 0.55, 0.19, 2.0045, 1.0465, 0.407, 0.5075, 12
M, 0.725, 0.505, 0.185, 1.978, 1.026, 0.4255, 0.4505, 12
I, 0.31, 0.225, 0.07, 0.1055, 0.435, 0.015, 0.04, 5
I, 0.315, 0.23, 0.07, 0.1145, 0.046, 0.0235, 0.0385, 5
I, 0.35, 0.255, 0.09, 0.1785, 0.0855, 0.0305, 0.0525, 8
I, 0.375, 0.29, 0.095, 0.213, 0.096, 0.041, 0.061, 5
I, 0.375, 0.275, 0.09, 0.218, 0.093, 0.0405, 0.0755, 6
I, 0.435, 0.315, 0.11, 0.3685, 0.1615, 0.0715, 0.12, 7
I, 0.44, 0.34, 0.12, 0.438, 0.2115, 0.083, 0.12, 9
I, 0.46, 0.36, 0.105, 0.466, 0.2225, 0.099, 0.11, 7
I, 0.47, 0.355, 0.12, 0.393, 0.167, 0.0885, 0.115, 8
I, 0.5, 0.38, 0.135, 0.594, 0.2945, 0.104, 0.1565, 9
M, 0.5, 0.42, 0.135, 0.6765, 0.302, 0.1415, 0.2065, 9
I, 0.5, 0.375, 0.145, 0.5795, 0.239, 0.1375, 0.185, 9
I, 0.505, 0.395, 0.105, 0.551, 0.248, 0.103, 0.171, 8
I, 0.53, 0.415, 0.11, 0.5745, 0.2525, 0.1235, 0.189, 9
I, 0.545, 0.43, 0.15, 0.7285, 0.302, 0.1315, 0.2545, 10
M, 0.555, 0.44, 0.14, 0.8705, 0.407, 0.156, 0.255, 9
I, 0.555, 0.425, 0.145, 0.7905, 0.3485, 0.1765, 0.225, 9
M, 0.565, 0.39, 0.125, 0.744, 0.352, 0.13, 0.1685, 11
I, 0.585, 0.475, 0.16, 1.0505, 0.48, 0.234, 0.285, 10
M, 0.585, 0.47, 0.165, 1.409, 0.8, 0.229, 0.295, 10
I, 0.59, 0.445, 0.135, 0.7715, 0.328, 0.1745, 0.23, 9
F, 0.6, 0.465, 0.155, 1.04, 0.4755, 0.25, 0.28, 11
M, 0.605, 0.49, 0.14, 0.9755, 0.419, 0.206, 0.315, 10
M, 0.61, 0.48, 0.165, 1.244, 0.6345, 0.257, 0.305, 12
M, 0.615, 0.5, 0.17, 1.054, 0.4845, 0.228, 0.295, 10
F, 0.615, 0.475, 0.165, 1.023, 0.4905, 0.1955, 0.3035, 12
M, 0.615, 0.48, 0.175, 1.118, 0.446, 0.3195, 0.3, 9
M, 0.62, 0.51, 0.175, 1.2815, 0.5715, 0.2385, 0.39, 10
F, 0.625, 0.505, 0.175, 1.15, 0.5475, 0.256, 0.3045, 11
F, 0.625, 0.515, 0.16, 1.264, 0.5715, 0.326, 0.321, 9
I, 0.63, 0.475, 0.145, 1.0605, 0.5165, 0.2195, 0.28, 10
F, 0.635, 0.5, 0.165, 1.4595, 0.705, 0.2645, 0.39, 9
M, 0.64, 0.525, 0.18, 1.3135, 0.4865, 0.2995, 0.4075, 10
M, 0.645, 0.5, 0.195, 1.401, 0.6165, 0.3515, 0.3725, 10
M, 0.645, 0.525, 0.16, 1.5075, 0.7455, 0.245, 0.4325, 11
F, 0.705, 0.57, 0.18, 1.5345, 0.96, 0.4195, 0.43, 12
F, 0.745, 0.57, 0.215, 2.25, 1.1565, 0.446, 0.558, 9
F, 0.75, 0.61, 0.235, 2.5085, 1.232, 0.519, 0.612, 14
I, 0.365, 0.265, 0.135, 0.2215, 0.105, 0.047, 0.0605, 7
I, 0.4, 0.29, 0.11, 0.329, 0.188, 0.0455, 0.0825, 6
M, 0.415, 0.315, 0.115, 0.3895, 0.2015, 0.065, 0.103, 9
I, 0.44, 0.365, 0.11, 0.4465, 0.213, 0.089, 0.1135, 9
F, 0.475, 0.365, 0.115, 0.566, 0.281, 0.117, 0.1335, 7
I, 0.485, 0.38, 0.12, 0.4725, 0.2075, 0.1075, 0.147, 6
M, 0.505, 0.385, 0.105, 0.5525, 0.239, 0.1245, 0.1555, 9
I, 0.515, 0.4, 0.125, 0.5625, 0.25, 0.1245, 0.17, 7
M, 0.52, 0.4, 0.125, 0.559, 0.254, 0.139, 0.149, 8
I, 0.53, 0.43, 0.13, 0.7045, 0.346, 0.1415, 0.189, 9
F, 0.545, 0.41, 0.14, 0.7405, 0.3565, 0.1775, 0.203, 9
F, 0.605, 0.515, 0.17, 1.289, 0.6, 0.2945, 0.3315, 9
F, 0.63, 0.49, 0.225, 1.336, 0.6805, 0.259, 0.3245, 10
F, 0.68, 0.5, 0.185, 1.741, 0.7665, 0.3255, 0.4685, 12
M, 0.7, 0.555, 0.2, 1.858, 0.73, 0.3665, 0.595, 11
M, 0.705, 0.56, 0.165, 1.675, 0.797, 0.4095, 0.388, 10
M, 0.75, 0.55, 0.18, 1.893, 0.942, 0.397, 0.445, 11
I, 0.3, 0.23, 0.085, 0.117, 0.05, 0.0175, 0.0415, 6
I, 0.335, 0.255, 0.08, 0.168, 0.079, 0.0355, 0.05, 5
I, 0.355, 0.27, 0.075, 0.1775, 0.079, 0.0315, 0.054, 6
I, 0.355, 0.26, 0.09, 0.1985, 0.0715, 0.0495, 0.058, 7
I, 0.36, 0.27, 0.095, 0.2, 0.073, 0.056, 0.061, 8
I, 0.385, 0.28, 0.095, 0.257, 0.119, 0.059, 0.07, 7
I, 0.45, 0.34, 0.095, 0.3245, 0.1385, 0.064, 0.105, 8
I, 0.45, 0.335, 0.11, 0.4195, 0.181, 0.085, 0.1345, 7
I, 0.465, 0.37, 0.12, 0.4365, 0.188, 0.0815, 0.147, 9
I, 0.47, 0.355, 0.125, 0.499, 0.21, 0.0985, 0.155, 8
I, 0.475, 0.36, 0.125, 0.4905, 0.205, 0.1305, 0.125, 8
I, 0.485, 0.375, 0.13, 0.6025, 0.2935, 0.1285, 0.16, 7
I, 0.525, 0.4, 0.14, 0.654, 0.305, 0.16, 0.169, 7
M, 0.525, 0.4, 0.155, 0.707, 0.282, 0.1605, 0.225, 9
I, 0.545, 0.375, 0.12, 0.543, 0.2375, 0.1155, 0.1725, 8
I, 0.55, 0.425, 0.15, 0.7665, 0.339, 0.176, 0.21, 8
I, 0.555, 0.435, 0.14, 0.765, 0.3945, 0.15, 0.206, 8
M, 0.56, 0.425, 0.135, 0.849, 0.3265, 0.221, 0.2645, 10
M, 0.565, 0.43, 0.15, 0.831, 0.4245, 0.1735, 0.219, 10
M, 0.575, 0.455, 0.165, 0.867, 0.3765, 0.1805, 0.268, 8
F, 0.575, 0.465, 0.195, 0.9965, 0.417, 0.247, 0.47, 8
I, 0.575, 0.445, 0.17, 0.8015, 0.3475, 0.1465, 0.25, 9
I, 0.575, 0.45, 0.135, 0.807, 0.3615, 0.176, 0.254, 10
M, 0.58, 0.46, 0.155, 1.0335, 0.469, 0.2225, 0.295, 10
