@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
I, 0.44, 0.35, 0.135, 0.435, 0.1815, 0.083, 0.125, 12
I, 0.075, 0.055, 0.01, 0.0020, 0.0010, 5.0E-4, 0.0015, 1
I, 0.32, 0.245, 0.08, 0.1585, 0.0635, 0.0325, 0.05, 13
I, 0.33, 0.25, 0.105, 0.1715, 0.0655, 0.035, 0.06, 7
F, 0.59, 0.475, 0.16, 1.1015, 0.4775, 0.2555, 0.295, 13
F, 0.57, 0.44, 0.125, 0.865, 0.3675, 0.1725, 0.27, 12
M, 0.63, 0.515, 0.155, 1.259, 0.4105, 0.197, 0.41, 13
I, 0.36, 0.285, 0.105, 0.2415, 0.0915, 0.057, 0.075, 7
F, 0.54, 0.435, 0.175, 0.892, 0.322, 0.174, 0.335, 13
F, 0.635, 0.535, 0.19, 1.242, 0.576, 0.2475, 0.39, 14
I, 0.19, 0.145, 0.04, 0.038, 0.0165, 0.0065, 0.015, 4
M, 0.335, 0.265, 0.105, 0.222, 0.0935, 0.056, 0.075, 7
M, 0.62, 0.465, 0.19, 1.3415, 0.5705, 0.3175, 0.355, 11
M, 0.59, 0.45, 0.185, 1.283, 0.473, 0.276, 0.425, 16
M, 0.62, 0.475, 0.185, 1.325, 0.6045, 0.325, 0.33, 13
F, 0.565, 0.45, 0.195, 1.0035, 0.406, 0.2505, 0.285, 15
M, 0.62, 0.465, 0.185, 1.274, 0.579, 0.3065, 0.32, 12
F, 0.46, 0.425, 0.155, 0.746, 0.3005, 0.152, 0.24, 8
F, 0.61, 0.495, 0.185, 1.153, 0.536, 0.2905, 0.245, 8
M, 0.58, 0.455, 0.17, 0.93, 0.408, 0.259, 0.22, 9
M, 0.605, 0.49, 0.18, 1.227, 0.48, 0.287, 0.35, 18
F, 0.65, 0.525, 0.175, 1.4225, 0.61, 0.2995, 0.445, 20
F, 0.66, 0.565, 0.195, 1.7605, 0.692, 0.3265, 0.5, 16
M, 0.565, 0.465, 0.175, 0.995, 0.3895, 0.183, 0.37, 15
M, 0.535, 0.44, 0.15, 0.6765, 0.256, 0.139, 0.26, 12
M, 0.555, 0.45, 0.145, 0.915, 0.4, 0.246, 0.285, 11
M, 0.57, 0.44, 0.095, 0.827, 0.3395, 0.2215, 0.235, 8
M, 0.585, 0.475, 0.12, 0.945, 0.41, 0.2115, 0.28, 14
F, 0.58, 0.46, 0.12, 0.9935, 0.4625, 0.2385, 0.28, 11
M, 0.545, 0.44, 0.12, 0.8565, 0.3475, 0.1715, 0.24, 12
F, 0.63, 0.5, 0.17, 1.3135, 0.5595, 0.267, 0.4, 20
M, 0.565, 0.455, 0.17, 0.9065, 0.342, 0.156, 0.32, 18
M, 0.545, 0.42, 0.14, 0.7505, 0.2475, 0.13, 0.255, 22
I, 0.36, 0.275, 0.095, 0.217, 0.084, 0.0435, 0.09, 7
F, 0.505, 0.425, 0.14, 0.85, 0.275, 0.1625, 0.285, 19
F, 0.56, 0.455, 0.19, 0.714, 0.283, 0.129, 0.275, 9
M, 0.565, 0.435, 0.185, 0.9815, 0.329, 0.136, 0.39, 13
F, 0.675, 0.535, 0.16, 1.41, 0.592, 0.3175, 0.42, 16
F, 0.665, 0.555, 0.195, 1.4385, 0.581, 0.354, 0.36, 17
F, 0.64, 0.54, 0.175, 1.221, 0.51, 0.259, 0.39, 15
I, 0.22, 0.165, 0.055, 0.0545, 0.0215, 0.012, 0.02, 5
F, 0.52, 0.405, 0.12, 0.627, 0.2645, 0.1415, 0.181, 11
F, 0.545, 0.415, 0.16, 0.7715, 0.272, 0.1455, 0.2765, 10
F, 0.465, 0.35, 0.115, 0.421, 0.1565, 0.091, 0.1345, 9
M, 0.57, 0.465, 0.125, 0.849, 0.3785, 0.1765, 0.24, 15
F, 0.58, 0.46, 0.15, 0.9955, 0.429, 0.212, 0.26, 19
F, 0.625, 0.515, 0.15, 1.2415, 0.5235, 0.3065, 0.36, 15
M, 0.59, 0.455, 0.145, 1.073, 0.475, 0.19, 0.285, 14
F, 0.6, 0.505, 0.19, 1.129, 0.4385, 0.256, 0.36, 13
M, 0.6, 0.47, 0.175, 1.105, 0.4865, 0.247, 0.315, 15
M, 0.585, 0.455, 0.225, 1.055, 0.3815, 0.221, 0.365, 15
M, 0.56, 0.435, 0.18, 0.889, 0.36, 0.204, 0.25, 11
F, 0.275, 0.195, 0.07, 0.08, 0.031, 0.0215, 0.025, 5
M, 0.28, 0.2, 0.08, 0.0915, 0.033, 0.0215, 0.03, 5
M, 0.235, 0.16, 0.06, 0.0545, 0.0265, 0.0095, 0.015, 4
F, 0.57, 0.45, 0.16, 0.9715, 0.3965, 0.255, 0.26, 12
M, 0.385, 0.3, 0.095, 0.24, 0.0885, 0.059, 0.085, 9
I, 0.53, 0.42, 0.185, 0.752, 0.299, 0.156, 0.205, 20
F, 0.375, 0.29, 0.115, 0.2705, 0.093, 0.066, 0.0885, 10
F, 0.38, 0.29, 0.105, 0.257, 0.099, 0.051, 0.085, 10
F, 0.565, 0.45, 0.16, 0.795, 0.3605, 0.1555, 0.23, 12
I, 0.65, 0.515, 0.16, 1.1625, 0.495, 0.203, 0.33, 17
I, 0.48, 0.37, 0.12, 0.514, 0.2075, 0.131, 0.155, 13
F, 0.475, 0.35, 0.115, 0.452, 0.1715, 0.092, 0.155, 11
F, 0.47, 0.355, 0.13, 0.5465, 0.2005, 0.126, 0.185, 14
I, 0.485, 0.355, 0.13, 0.581, 0.245, 0.132, 0.168, 12
I, 0.435, 0.33, 0.125, 0.406, 0.1685, 0.1055, 0.096, 12
I, 0.61, 0.475, 0.15, 0.9665, 0.4145, 0.2, 0.345, 10
F, 0.585, 0.435, 0.175, 0.982, 0.4055, 0.2495, 0.27, 10
I, 0.58, 0.445, 0.15, 0.8865, 0.383, 0.209, 0.255, 11
F, 0.39, 0.3, 0.1, 0.265, 0.1075, 0.06, 0.0865, 13
M, 0.37, 0.285, 0.1, 0.228, 0.0675, 0.0675, 0.081, 10
M, 0.32, 0.24, 0.085, 0.17, 0.0655, 0.047, 0.049, 7
M, 0.34, 0.265, 0.085, 0.1835, 0.077, 0.046, 0.065, 10
M, 0.46, 0.365, 0.125, 0.467, 0.1895, 0.0945, 0.158, 10
I, 0.47, 0.36, 0.13, 0.5225, 0.198, 0.1065, 0.165, 9
M, 0.36, 0.295, 0.1, 0.2105, 0.066, 0.0525, 0.075, 9
M, 0.38, 0.235, 0.1, 0.258, 0.1055, 0.054, 0.08, 7
M, 0.325, 0.24, 0.085, 0.173, 0.0795, 0.038, 0.05, 7
M, 0.33, 0.255, 0.095, 0.1875, 0.0735, 0.045, 0.06, 7
M, 0.33, 0.215, 0.075, 0.1145, 0.045, 0.0265, 0.035, 6
F, 0.475, 0.36, 0.125, 0.447, 0.1695, 0.081, 0.14, 9
M, 0.31, 0.225, 0.08, 0.1345, 0.054, 0.024, 0.05, 7
M, 0.49, 0.39, 0.15, 0.573, 0.225, 0.124, 0.17, 21
F, 0.45, 0.38, 0.165, 0.8165, 0.25, 0.1915, 0.265, 23
M, 0.485, 0.37, 0.14, 0.5725, 0.204, 0.1415, 0.175, 10
F, 0.435, 0.325, 0.115, 0.3915, 0.154, 0.094, 0.12, 7
M, 0.51, 0.4, 0.14, 0.6515, 0.2455, 0.1665, 0.185, 10
I, 0.255, 0.19, 0.075, 0.0865, 0.0345, 0.0205, 0.025, 5
I, 0.315, 0.23, 0.09, 0.1285, 0.043, 0.04, 0.04, 7
M, 0.395, 0.295, 0.115, 0.316, 0.1205, 0.0595, 0.1105, 12
M, 0.315, 0.25, 0.09, 0.203, 0.0615, 0.037, 0.0795, 11
I, 0.28, 0.205, 0.055, 0.1135, 0.045, 0.0275, 0.0335, 7
M, 0.525, 0.425, 0.12, 0.8665, 0.2825, 0.176, 0.29, 18
M, 0.51, 0.39, 0.125, 0.6565, 0.262, 0.1835, 0.175, 10
F, 0.52, 0.405, 0.14, 0.8175, 0.2795, 0.183, 0.26, 17
M, 0.52, 0.385, 0.14, 0.6595, 0.2485, 0.2035, 0.16, 9
F, 0.54, 0.44, 0.135, 0.959, 0.2385, 0.221, 0.3, 17
M, 0.64, 0.51, 0.19, 1.613, 0.6215, 0.361, 0.47, 14
F, 0.59, 0.445, 0.13, 1.1325, 0.3825, 0.234, 0.32, 13
F, 0.55, 0.43, 0.155, 0.785, 0.289, 0.227, 0.233, 11
F, 0.53, 0.455, 0.165, 0.9805, 0.3155, 0.2815, 0.2965, 11
M, 0.56, 0.41, 0.165, 0.93, 0.3505, 0.237, 0.3, 13
M, 0.505, 0.385, 0.15, 0.6415, 0.246, 0.152, 0.215, 12
M, 0.55, 0.415, 0.175, 1.042, 0.3295, 0.2325, 0.2905, 15
F, 0.6, 0.465, 0.165, 0.8875, 0.309, 0.246, 0.262, 12
M, 0.44, 0.335, 0.11, 0.394, 0.157, 0.096, 0.122, 9
F, 0.52, 0.41, 0.115, 0.807, 0.2855, 0.179, 0.235, 12
M, 0.5, 0.4, 0.125, 0.5975, 0.27, 0.1275, 0.166, 9
M, 0.55, 0.45, 0.15, 1.0145, 0.407, 0.2015, 0.2875, 10
M, 0.555, 0.435, 0.145, 0.9685, 0.4985, 0.168, 0.2385, 9
M, 0.565, 0.45, 0.155, 1.0595, 0.4735, 0.24, 0.265, 10
M, 0.615, 0.51, 0.15, 1.296, 0.545, 0.3315, 0.32, 9
M, 0.66, 0.53, 0.17, 1.3905, 0.5905, 0.212, 0.453, 15
F, 0.675, 0.525, 0.17, 1.8095, 0.784, 0.391, 0.455, 12
F, 0.675, 0.525, 0.155, 1.4785, 0.628, 0.3405, 0.42, 9
F, 0.685, 0.54, 0.16, 1.6675, 0.833, 0.3775, 0.475, 11
F, 0.695, 0.56, 0.22, 1.834, 0.8455, 0.422, 0.455, 11
I, 0.24, 0.175, 0.065, 0.0665, 0.031, 0.0135, 0.017, 3
I, 0.28, 0.12, 0.075, 0.117, 0.0455, 0.029, 0.0345, 4
I, 0.3, 0.23, 0.095, 0.1385, 0.056, 0.0365, 0.037, 6
I, 0.34, 0.25, 0.075, 0.1785, 0.0665, 0.0455, 0.045, 5
I, 0.415, 0.33, 0.09, 0.3595, 0.17, 0.081, 0.09, 6
I, 0.435, 0.325, 0.12, 0.3995, 0.1815, 0.061, 0.1125, 8
I, 0.45, 0.355, 0.105, 0.4445, 0.197, 0.093, 0.1335, 8
M, 0.47, 0.365, 0.12, 0.612, 0.327, 0.15, 0.14, 8
M, 0.48, 0.375, 0.115, 0.6765, 0.3205, 0.1065, 0.17, 6
M, 0.48, 0.365, 0.12, 0.6015, 0.312, 0.117, 0.14, 7
M, 0.5, 0.385, 0.135, 0.6425, 0.3195, 0.129, 0.1535, 7
F, 0.505, 0.39, 0.13, 0.674, 0.3165, 0.141, 0.1785, 9
M, 0.515, 0.39, 0.155, 0.7125, 0.3695, 0.137, 0.155, 7
F, 0.525, 0.415, 0.14, 0.724, 0.3475, 0.173, 0.175, 8
F, 0.55, 0.445, 0.155, 0.9905, 0.544, 0.178, 0.218, 9
M, 0.57, 0.45, 0.155, 1.195, 0.5625, 0.2565, 0.295, 10
M, 0.575, 0.475, 0.16, 1.114, 0.4955, 0.2745, 0.29, 9
F, 0.58, 0.46, 0.15, 1.1155, 0.5575, 0.2255, 0.29, 7
M, 0.59, 0.47, 0.16, 1.206, 0.479, 0.2425, 0.309, 8
F, 0.595, 0.45, 0.15, 1.114, 0.5865, 0.2205, 0.25, 11
M, 0.595, 0.455, 0.15, 1.044, 0.518, 0.2205, 0.27, 9
F, 0.605, 0.49, 0.15, 1.1345, 0.5265, 0.2645, 0.295, 9
F, 0.625, 0.475, 0.175, 1.1435, 0.4755, 0.2475, 0.349, 10
F, 0.625, 0.485, 0.2, 1.38, 0.5845, 0.302, 0.401, 9
F, 0.64, 0.5, 0.17, 1.5175, 0.693, 0.326, 0.409, 11
F, 0.645, 0.5, 0.155, 1.2205, 0.6145, 0.236, 0.3185, 10
M, 0.645, 0.5, 0.175, 1.3385, 0.633, 0.299, 0.349, 11
M, 0.69, 0.525, 0.175, 1.7005, 0.8255, 0.362, 0.405, 8
F, 0.695, 0.535, 0.175, 1.8385, 0.8035, 0.396, 0.503, 10
F, 0.715, 0.525, 0.185, 1.56, 0.6655, 0.383, 0.405, 11
I, 0.34, 0.265, 0.08, 0.2015, 0.09, 0.0475, 0.055, 5
I, 0.41, 0.3, 0.1, 0.282, 0.1255, 0.057, 0.0875, 7
I, 0.435, 0.33, 0.11, 0.413, 0.2055, 0.096, 0.096, 6
I, 0.445, 0.335, 0.11, 0.411, 0.1985, 0.0935, 0.109, 8
I, 0.46, 0.35, 0.115, 0.4155, 0.18, 0.098, 0.1175, 7
M, 0.49, 0.465, 0.125, 0.5225, 0.235, 0.13, 0.141, 7
M, 0.52, 0.4, 0.145, 0.7765, 0.3525, 0.1845, 0.185, 9
M, 0.545, 0.415, 0.14, 0.82, 0.4615, 0.127, 0.218, 9
M, 0.56, 0.43, 0.145, 0.8995, 0.464, 0.1775, 0.234, 9
M, 0.56, 0.415, 0.145, 0.852, 0.43, 0.1885, 0.205, 8
M, 0.57, 0.46, 0.15, 1.0375, 0.5415, 0.2035, 0.25, 9
M, 0.575, 0.455, 0.135, 0.907, 0.4245, 0.197, 0.26, 9
M, 0.58, 0.455, 0.15, 1.114, 0.4765, 0.2155, 0.265, 8
M, 0.58, 0.455, 0.195, 1.859, 0.945, 0.426, 0.441, 9
M, 0.58, 0.45, 0.14, 0.9615, 0.486, 0.1815, 0.253, 9
M, 0.58, 0.45, 0.145, 1.0025, 0.547, 0.1975, 0.2295, 8
F, 0.58, 0.45, 0.155, 0.93, 0.385, 0.246, 0.265, 9
M, 0.585, 0.46, 0.145, 0.9335, 0.478, 0.1825, 0.235, 9
M, 0.615, 0.46, 0.17, 1.0565, 0.4815, 0.272, 0.27, 10
F, 0.62, 0.48, 0.16, 1.1125, 0.5635, 0.2445, 0.281, 8
F, 0.635, 0.495, 0.015, 1.1565, 0.5115, 0.308, 0.2885, 9
F, 0.72, 0.55, 0.2, 1.9965, 0.9035, 0.469, 0.5215, 10
F, 0.755, 0.625, 0.21, 2.505, 1.1965, 0.513, 0.6785, 11
F, 0.78, 0.63, 0.215, 2.657, 1.488, 0.4985, 0.586, 11
I, 0.185, 0.375, 0.12, 0.4645, 0.196, 0.1045, 0.15, 6
I, 0.25, 0.185, 0.065, 0.0685, 0.0295, 0.014, 0.0225, 5
I, 0.325, 0.225, 0.075, 0.139, 0.0565, 0.032, 0.09, 6
I, 0.33, 0.205, 0.095, 0.1595, 0.077, 0.032, 0.0435, 5
I, 0.335, 0.245, 0.09, 0.2015, 0.096, 0.0405, 0.048, 7
I, 0.37, 0.28, 0.085, 0.217, 0.1095, 0.035, 0.062, 6
I, 0.38, 0.27, 0.08, 0.2105, 0.0865, 0.042, 0.07, 8
I, 0.385, 0.28, 0.085, 0.2175, 0.097, 0.038, 0.067, 8
I, 0.385, 0.3, 0.095, 0.302, 0.152, 0.0615, 0.0735, 7
I, 0.395, 0.27, 0.1, 0.2985, 0.1445, 0.061, 0.082, 5
I, 0.425, 0.325, 0.11, 0.3335, 0.173, 0.045, 0.1, 7
I, 0.43, 0.34, 0.0, 0.428, 0.2065, 0.086, 0.115, 8
I, 0.43, 0.315, 0.095, 0.378, 0.175, 0.08, 0.1045, 8
I, 0.46, 0.35, 0.105, 0.3705, 0.1575, 0.077, 0.114, 9
I, 0.495, 0.355, 0.12, 0.4965, 0.214, 0.1045, 0.1495, 8
I, 0.495, 0.38, 0.13, 0.5125, 0.2185, 0.116, 0.16, 7
I, 0.515, 0.4, 0.135, 0.6965, 0.32, 0.1255, 0.175, 9
I, 0.52, 0.4, 0.13, 0.5825, 0.233, 0.1365, 0.18, 10
I, 0.535, 0.4, 0.135, 0.6025, 0.2895, 0.121, 0.154, 9
F, 0.54, 0.42, 0.145, 0.8655, 0.4315, 0.163, 0.2175, 10
F, 0.565, 0.45, 0.145, 0.8495, 0.4215, 0.1685, 0.225, 8
M, 0.57, 0.435, 0.17, 0.873, 0.382, 0.183, 0.2705, 10
M, 0.58, 0.46, 0.155, 1.4395, 0.6715, 0.273, 0.2955, 10
M, 0.58, 0.455, 0.135, 0.7955, 0.405, 0.167, 0.204, 10
M, 0.585, 0.46, 0.165, 1.1135, 0.5825, 0.2345, 0.274, 10
M, 0.59, 0.455, 0.155, 0.8855, 0.388, 0.188, 0.275, 10
M, 0.6, 0.46, 0.155, 0.9595, 0.4455, 0.189, 0.295, 11
I, 0.605, 0.485, 0.15, 1.238, 0.6315, 0.226, 0.33, 11
F, 0.605, 0.475, 0.175, 1.076, 0.463, 0.2195, 0.335, 9
M, 0.615, 0.47, 0.165, 1.128, 0.4465, 0.2195, 0.34, 10
F, 0.65, 0.505, 0.165, 1.16, 0.4785, 0.274, 0.349, 11
F, 0.65, 0.59, 0.22, 1.662, 0.77, 0.378, 0.435, 11
M, 0.65, 0.525, 0.175, 1.5365, 0.6865, 0.3585, 0.405, 11
F, 0.655, 0.525, 0.19, 1.3595, 0.564, 0.3215, 0.3985, 10
F, 0.655, 0.52, 0.19, 1.4545, 0.6, 0.3865, 0.383, 10
M, 0.655, 0.49, 0.175, 1.3585, 0.6395, 0.294, 0.365, 10
M, 0.705, 0.555, 0.215, 2.141, 1.0465, 0.383, 0.528, 11
F, 0.725, 0.6, 0.2, 1.737, 0.697, 0.3585, 0.595, 11
F, 0.73, 0.58, 0.19, 1.7375, 0.6785, 0.4345, 0.52, 11
F, 0.815, 0.65, 0.25, 2.255, 0.8905, 0.42, 0.7975, 14
I, 0.4, 0.3, 0.09, 0.2815, 0.1185, 0.061, 0.08, 7
I, 0.41, 0.32, 0.095, 0.2905, 0.141, 0.063, 0.073, 5
I, 0.425, 0.34, 0.105, 0.389, 0.2015, 0.0905, 0.088, 6
I, 0.44, 0.34, 0.105, 0.369, 0.164, 0.08, 0.1015, 5
I, 0.47, 0.35, 0.125, 0.4315, 0.19, 0.1165, 0.1175, 6
F, 0.505, 0.38, 0.135, 0.6855, 0.361, 0.1565, 0.161, 9
F, 0.58, 0.435, 0.14, 0.953, 0.475, 0.2165, 0.2095, 9
F, 0.61, 0.485, 0.17, 1.1005, 0.5125, 0.229, 0.305, 11
F, 0.62, 0.435, 0.155, 1.012, 0.477, 0.236, 0.275, 8
M, 0.62, 0.48, 0.165, 1.0725, 0.4815, 0.235, 0.312, 9
M, 0.63, 0.48, 0.15, 1.271, 0.6605, 0.2425, 0.31, 11
M, 0.65, 0.485, 0.14, 1.175, 0.475, 0.2435, 0.215, 8
M, 0.67, 0.545, 0.2, 1.7025, 0.833, 0.374, 0.41, 11
M, 0.67, 0.5, 0.19, 1.519, 0.616, 0.388, 0.415, 10
M, 0.68, 0.515, 0.17, 1.6115, 0.8415, 0.306, 0.395, 11
M, 0.69, 0.525, 0.2, 1.7825, 0.9165, 0.3325, 0.461, 12
F, 0.7, 0.55, 0.17, 1.684, 0.7535, 0.3265, 0.32, 11
I, 0.285, 0.21, 0.055, 0.101, 0.0415, 0.017, 0.0335, 5
I, 0.295, 0.215, 0.07, 0.121, 0.047, 0.0155, 0.0405, 6
I, 0.305, 0.225, 0.09, 0.1465, 0.063, 0.034, 0.0415, 6
I, 0.365, 0.27, 0.085, 0.2225, 0.0935, 0.0525, 0.066, 7
I, 0.385, 0.3, 0.09, 0.308, 0.1525, 0.056, 0.0835, 8
I, 0.39, 0.3, 0.09, 0.252, 0.1065, 0.053, 0.08, 7
I, 0.41, 0.3, 0.09, 0.304, 0.129, 0.071, 0.0955, 8
I, 0.435, 0.325, 0.11, 0.367, 0.1595, 0.08, 0.105, 6
I, 0.46, 0.35, 0.11, 0.4, 0.176, 0.083, 0.1205, 7
I, 0.48, 0.37, 0.12, 0.536, 0.251, 0.114, 0.15, 8
I, 0.49, 0.375, 0.115, 0.4615, 0.204, 0.0945, 0.143, 8
I, 0.49, 0.4, 0.135, 0.624, 0.3035, 0.1285, 0.169, 8
I, 0.5, 0.4, 0.12, 0.616, 0.261, 0.143, 0.1935, 8
F, 0.515, 0.375, 0.11, 0.6065, 0.3005, 0.131, 0.15, 6
I, 0.515, 0.39, 0.125, 0.5705, 0.238, 0.1265, 0.185, 8
I, 0.52, 0.39, 0.13, 0.5545, 0.2355, 0.1095, 0.1895, 7
I, 0.53, 0.42, 0.12, 0.5965, 0.2555, 0.141, 0.177, 7
I, 0.53, 0.43, 0.135, 0.6255, 0.245, 0.1455, 0.2135, 10
I, 0.535, 0.4, 0.13, 0.657, 0.2835, 0.162, 0.175, 7
I, 0.545, 0.42, 0.125, 0.717, 0.358, 0.112, 0.22, 8
I, 0.55, 0.42, 0.135, 0.816, 0.3995, 0.1485, 0.23, 12
M, 0.575, 0.445, 0.16, 0.839, 0.4005, 0.198, 0.239, 9
F, 0.585, 0.445, 0.14, 0.913, 0.4305, 0.2205, 0.253, 10
I, 0.59, 0.45, 0.145, 1.022, 0.428, 0.268, 0.265, 10
I, 0.59, 0.46, 0.145, 0.9015, 0.419, 0.1785, 0.26, 11
I, 0.6, 0.48, 0.17, 0.9175, 0.38, 0.2225, 0.29, 8
F, 0.605, 0.48, 0.14, 0.991, 0.4735, 0.2345, 0.24, 8
F, 0.605, 0.47, 0.155, 0.974, 0.393, 0.224, 0.3345, 9
M, 0.625, 0.475, 0.16, 1.0845, 0.5005, 0.2355, 0.3105, 10
M, 0.635, 0.5, 0.17, 1.4345, 0.611, 0.309, 0.418, 12
F, 0.635, 0.49, 0.175, 1.2435, 0.5805, 0.313, 0.305, 10
M, 0.645, 0.505, 0.15, 1.1605, 0.519, 0.2615, 0.335, 10
F, 0.645, 0.51, 0.19, 1.363, 0.573, 0.362, 0.36, 10
F, 0.645, 0.48, 0.19, 1.371, 0.6925, 0.2905, 0.35, 12
M, 0.65, 0.505, 0.19, 1.274, 0.59, 0.23, 0.391, 11
M, 0.655, 0.55, 0.18, 1.274, 0.586, 0.281, 0.365, 10
F, 0.655, 0.505, 0.19, 1.3485, 0.5935, 0.2745, 0.425, 12
F, 0.66, 0.535, 0.175, 1.5175, 0.711, 0.3125, 0.415, 12
F, 0.665, 0.505, 0.16, 1.2915, 0.631, 0.2925, 0.32, 11
M, 0.675, 0.525, 0.16, 1.2835, 0.572, 0.2755, 0.3545, 13
M, 0.68, 0.52, 0.195, 1.4535, 0.592, 0.391, 0.4125, 10
M, 0.75, 0.595, 0.205, 2.2205, 1.083, 0.421, 0.63, 12
I, 0.375, 0.245, 0.1, 0.394, 0.166, 0.091, 0.1125, 6
F, 0.375, 0.27, 0.135, 0.597, 0.272, 0.131, 0.1675, 7
M, 0.445, 0.32, 0.12, 0.414, 0.199, 0.09, 0.117, 7
I, 0.455, 0.345, 0.11, 0.434, 0.207, 0.0855, 0.1215, 8
I, 0.465, 0.325, 0.14, 0.7615, 0.362, 0.1535, 0.209, 10
I, 0.485, 0.365, 0.105, 0.5205, 0.195, 0.123, 0.182, 8
M, 0.5, 0.37, 0.15, 1.0615, 0.494, 0.223, 0.296, 9
M, 0.515, 0.395, 0.135, 1.007, 0.472, 0.2495, 0.252, 8
M, 0.53, 0.41, 0.14, 0.7545, 0.3495, 0.1715, 0.2105, 8
F, 0.635, 0.475, 0.15, 1.1845, 0.533, 0.307, 0.291, 10
F, 0.72, 0.55, 0.195, 2.073, 1.0715, 0.4265, 0.5015, 9
I, 0.475, 0.34, 0.105, 0.4535, 0.203, 0.08, 0.1465, 9
I, 0.485, 0.385, 0.13, 0.568, 0.2505, 0.178, 0.154, 7
