@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
M, 0.46, 0.38, 0.135, 0.482, 0.207, 0.1225, 0.145, 10
I, 0.415, 0.325, 0.1, 0.3215, 0.1535, 0.0595, 0.105, 10
F, 0.47, 0.375, 0.125, 0.5615, 0.252, 0.137, 0.18, 10
I, 0.365, 0.295, 0.095, 0.25, 0.1075, 0.0545, 0.08, 9
I, 0.39, 0.31, 0.1, 0.302, 0.116, 0.064, 0.115, 11
F, 0.5, 0.395, 0.14, 0.7155, 0.3165, 0.176, 0.24, 10
M, 0.515, 0.455, 0.135, 0.7225, 0.295, 0.1625, 0.235, 9
M, 0.45, 0.355, 0.115, 0.479, 0.2125, 0.1045, 0.15, 8
F, 0.67, 0.54, 0.165, 1.5015, 0.518, 0.358, 0.505, 14
I, 0.26, 0.2, 0.07, 0.092, 0.037, 0.02, 0.03, 6
M, 0.58, 0.45, 0.175, 1.068, 0.425, 0.203, 0.32, 13
F, 0.56, 0.455, 0.125, 0.943, 0.344, 0.129, 0.375, 21
I, 0.36, 0.275, 0.11, 0.2335, 0.095, 0.0525, 0.085, 10
F, 0.565, 0.49, 0.155, 0.9245, 0.405, 0.2195, 0.255, 11
I, 0.415, 0.31, 0.11, 0.2965, 0.123, 0.057, 0.0995, 10
M, 0.38, 0.285, 0.1, 0.2665, 0.115, 0.061, 0.075, 11
F, 0.68, 0.55, 0.21, 1.7445, 0.5975, 0.305, 0.625, 17
F, 0.53, 0.44, 0.135, 0.7835, 0.313, 0.1715, 0.2185, 9
F, 0.515, 0.405, 0.12, 0.646, 0.2895, 0.1405, 0.177, 10
I, 0.43, 0.34, 0.12, 0.3575, 0.151, 0.0645, 0.1045, 9
M, 0.735, 0.59, 0.225, 1.756, 0.637, 0.3405, 0.58, 21
M, 0.655, 0.53, 0.175, 1.2635, 0.486, 0.2635, 0.415, 15
F, 0.62, 0.47, 0.225, 1.115, 0.378, 0.2145, 0.36, 15
M, 0.31, 0.22, 0.085, 0.146, 0.061, 0.0365, 0.045, 6
M, 0.27, 0.195, 0.08, 0.1, 0.0385, 0.0195, 0.03, 6
M, 0.2, 0.14, 0.055, 0.035, 0.0145, 0.0080, 0.01, 5
M, 0.175, 0.125, 0.04, 0.024, 0.0095, 0.0060, 0.0050, 4
F, 0.435, 0.335, 0.11, 0.38, 0.1695, 0.086, 0.11, 9
F, 0.5, 0.375, 0.14, 0.604, 0.242, 0.1415, 0.179, 15
M, 0.42, 0.325, 0.115, 0.2885, 0.1, 0.057, 0.1135, 15
M, 0.445, 0.35, 0.115, 0.3615, 0.1565, 0.0695, 0.117, 8
M, 0.32, 0.245, 0.075, 0.1555, 0.0585, 0.038, 0.049, 11
F, 0.66, 0.5, 0.165, 1.1905, 0.4585, 0.298, 0.37, 12
F, 0.44, 0.34, 0.105, 0.364, 0.148, 0.0805, 0.1175, 8
I, 0.515, 0.4, 0.12, 0.659, 0.2705, 0.179, 0.17, 13
I, 0.52, 0.425, 0.17, 0.6805, 0.28, 0.174, 0.195, 10
M, 0.45, 0.335, 0.14, 0.4625, 0.164, 0.076, 0.15, 14
I, 0.51, 0.4, 0.15, 0.745, 0.2865, 0.1675, 0.235, 13
I, 0.525, 0.41, 0.175, 0.874, 0.3585, 0.207, 0.205, 18
F, 0.66, 0.52, 0.18, 1.514, 0.526, 0.2975, 0.42, 19
M, 0.535, 0.42, 0.15, 0.6995, 0.2575, 0.153, 0.24, 12
F, 0.55, 0.43, 0.14, 0.7135, 0.2565, 0.186, 0.225, 9
I, 0.535, 0.42, 0.145, 0.926, 0.398, 0.1965, 0.25, 17
I, 0.515, 0.39, 0.14, 0.5555, 0.2, 0.1135, 0.2235, 12
I, 0.425, 0.345, 0.125, 0.425, 0.16, 0.0795, 0.154, 13
I, 0.485, 0.37, 0.13, 0.458, 0.181, 0.113, 0.136, 10
M, 0.325, 0.24, 0.075, 0.155, 0.0475, 0.0355, 0.06, 9
I, 0.45, 0.35, 0.145, 0.525, 0.2085, 0.1, 0.1655, 15
M, 0.345, 0.255, 0.08, 0.169, 0.06, 0.0425, 0.054, 10
F, 0.525, 0.405, 0.16, 0.658, 0.2655, 0.1125, 0.225, 12
F, 0.425, 0.335, 0.095, 0.322, 0.1205, 0.061, 0.125, 10
F, 0.38, 0.305, 0.095, 0.2815, 0.1255, 0.0525, 0.09, 8
F, 0.43, 0.34, 0.12, 0.391, 0.1555, 0.095, 0.1405, 7
F, 0.51, 0.4, 0.13, 0.5735, 0.219, 0.1365, 0.195, 13
M, 0.45, 0.34, 0.13, 0.3715, 0.1605, 0.0795, 0.105, 9
M, 0.255, 0.18, 0.065, 0.079, 0.034, 0.014, 0.025, 5
F, 0.37, 0.28, 0.11, 0.2305, 0.0945, 0.0465, 0.075, 10
F, 0.615, 0.515, 0.17, 1.14, 0.4305, 0.2245, 0.42, 16
I, 0.535, 0.45, 0.17, 0.781, 0.3055, 0.1555, 0.295, 11
F, 0.395, 0.295, 0.095, 0.2245, 0.078, 0.054, 0.08, 10
F, 0.52, 0.395, 0.18, 0.64, 0.158, 0.11, 0.245, 22
M, 0.54, 0.415, 0.145, 0.74, 0.2635, 0.168, 0.245, 12
F, 0.535, 0.405, 0.125, 0.927, 0.26, 0.1425, 0.345, 16
M, 0.525, 0.4, 0.17, 0.7305, 0.279, 0.2055, 0.195, 11
I, 0.165, 0.11, 0.02, 0.019, 0.0065, 0.0025, 0.0050, 4
I, 0.155, 0.105, 0.05, 0.0175, 0.0050, 0.0035, 0.0050, 4
M, 0.385, 0.285, 0.105, 0.2905, 0.1215, 0.0685, 0.0875, 12
M, 0.355, 0.265, 0.085, 0.201, 0.069, 0.053, 0.0695, 8
I, 0.18, 0.125, 0.035, 0.0265, 0.0095, 0.0055, 0.0085, 4
F, 0.49, 0.36, 0.11, 0.5005, 0.161, 0.107, 0.195, 17
M, 0.52, 0.4, 0.12, 0.823, 0.298, 0.1805, 0.265, 15
M, 0.445, 0.345, 0.09, 0.3795, 0.143, 0.074, 0.125, 10
F, 0.535, 0.42, 0.15, 0.7365, 0.2785, 0.186, 0.215, 14
M, 0.535, 0.42, 0.13, 0.8055, 0.301, 0.181, 0.28, 14
M, 0.485, 0.355, 0.12, 0.547, 0.215, 0.1615, 0.14, 10
M, 0.615, 0.525, 0.155, 1.1375, 0.367, 0.236, 0.37, 20
M, 0.57, 0.44, 0.155, 1.116, 0.4775, 0.2315, 0.27, 13
M, 0.57, 0.43, 0.12, 1.0615, 0.348, 0.167, 0.31, 15
M, 0.545, 0.45, 0.15, 0.978, 0.3365, 0.1905, 0.3, 11
I, 0.485, 0.375, 0.14, 0.521, 0.2, 0.123, 0.17, 8
M, 0.49, 0.38, 0.14, 0.7605, 0.245, 0.167, 0.185, 10
I, 0.385, 0.28, 0.125, 0.244, 0.102, 0.038, 0.085, 6
M, 0.495, 0.385, 0.135, 0.709, 0.211, 0.1375, 0.262, 12
M, 0.47, 0.37, 0.18, 0.51, 0.1915, 0.1285, 0.1625, 9
F, 0.48, 0.4, 0.125, 0.759, 0.2125, 0.179, 0.24, 15
M, 0.505, 0.405, 0.14, 0.875, 0.2665, 0.174, 0.285, 12
I, 0.255, 0.185, 0.06, 0.088, 0.0365, 0.021, 0.023, 5
I, 0.315, 0.24, 0.085, 0.1715, 0.071, 0.0345, 0.0535, 7
I, 0.35, 0.27, 0.09, 0.2055, 0.075, 0.0575, 0.062, 6
I, 0.365, 0.275, 0.135, 0.24, 0.108, 0.0445, 0.0735, 7
I, 0.415, 0.32, 0.11, 0.3735, 0.175, 0.0755, 0.109, 7
I, 0.44, 0.365, 0.115, 0.501, 0.2435, 0.084, 0.1465, 9
I, 0.475, 0.365, 0.125, 0.5465, 0.229, 0.1185, 0.172, 9
F, 0.495, 0.41, 0.125, 0.7555, 0.3355, 0.129, 0.214, 9
F, 0.545, 0.44, 0.135, 0.9185, 0.429, 0.2015, 0.2375, 10
F, 0.605, 0.475, 0.175, 1.382, 0.609, 0.2325, 0.3985, 10
F, 0.625, 0.49, 0.155, 1.2085, 0.465, 0.162, 0.411, 11
M, 0.73, 0.595, 0.23, 2.8255, 1.1465, 0.419, 0.897, 17
I, 0.205, 0.14, 0.05, 0.046, 0.0165, 0.012, 0.0135, 6
I, 0.295, 0.23, 0.08, 0.1625, 0.065, 0.05, 0.0385, 5
I, 0.335, 0.25, 0.075, 0.186, 0.0945, 0.038, 0.0445, 7
I, 0.41, 0.31, 0.09, 0.339, 0.155, 0.0695, 0.09, 7
I, 0.425, 0.315, 0.1, 0.377, 0.1645, 0.072, 0.105, 6
I, 0.43, 0.325, 0.1, 0.3645, 0.1575, 0.0825, 0.105, 7
I, 0.43, 0.325, 0.09, 0.425, 0.217, 0.087, 0.095, 7
I, 0.45, 0.36, 0.13, 0.478, 0.191, 0.127, 0.137, 7
I, 0.465, 0.37, 0.115, 0.534, 0.261, 0.098, 0.143, 7
I, 0.465, 0.345, 0.11, 0.4415, 0.1755, 0.0905, 0.12, 7
M, 0.475, 0.37, 0.125, 0.537, 0.222, 0.1215, 0.15, 9
M, 0.48, 0.385, 0.145, 0.64, 0.2925, 0.1405, 0.1575, 6
F, 0.515, 0.43, 0.14, 0.834, 0.367, 0.2, 0.23, 8
M, 0.525, 0.4, 0.14, 0.7325, 0.334, 0.1575, 0.17, 11
M, 0.53, 0.405, 0.125, 0.6515, 0.2715, 0.1605, 0.186, 7
F, 0.565, 0.4, 0.13, 0.6975, 0.3075, 0.1665, 0.18, 8
F, 0.57, 0.455, 0.15, 1.107, 0.54, 0.255, 0.27, 8
M, 0.59, 0.465, 0.155, 1.136, 0.5245, 0.2615, 0.275, 11
M, 0.61, 0.475, 0.155, 1.168, 0.554, 0.239, 0.3295, 10
F, 0.615, 0.48, 0.16, 1.2525, 0.585, 0.2595, 0.33, 8
F, 0.62, 0.51, 0.18, 1.3315, 0.594, 0.276, 0.388, 11
F, 0.645, 0.505, 0.165, 1.4325, 0.684, 0.308, 0.336, 8
M, 0.65, 0.495, 0.16, 1.304, 0.57, 0.312, 0.3725, 9
F, 0.655, 0.46, 0.16, 1.494, 0.6895, 0.331, 0.1825, 9
M, 0.66, 0.495, 0.195, 1.6275, 0.594, 0.3595, 0.485, 10
F, 0.735, 0.6, 0.22, 2.555, 1.1335, 0.44, 0.6, 11
I, 0.25, 0.18, 0.065, 0.0685, 0.0245, 0.0155, 0.0225, 5
I, 0.275, 0.195, 0.065, 0.106, 0.054, 0.02, 0.028, 6
I, 0.3, 0.22, 0.08, 0.1255, 0.055, 0.0265, 0.039, 6
I, 0.375, 0.28, 0.08, 0.2345, 0.1125, 0.0455, 0.067, 6
I, 0.41, 0.325, 0.1, 0.3245, 0.132, 0.072, 0.106, 6
I, 0.425, 0.325, 0.115, 0.3685, 0.162, 0.0865, 0.1045, 7
I, 0.435, 0.345, 0.115, 0.418, 0.222, 0.0735, 0.106, 7
I, 0.45, 0.33, 0.105, 0.3715, 0.1865, 0.0785, 0.0975, 7
I, 0.47, 0.38, 0.125, 0.4845, 0.211, 0.1075, 0.142, 6
I, 0.475, 0.35, 0.1, 0.4545, 0.2165, 0.111, 0.115, 7
M, 0.5, 0.39, 0.125, 0.5215, 0.2485, 0.117, 0.131, 6
F, 0.505, 0.39, 0.125, 0.5445, 0.246, 0.15, 0.1405, 7
F, 0.51, 0.4, 0.125, 0.545, 0.261, 0.115, 0.1385, 6
I, 0.535, 0.39, 0.125, 0.599, 0.2595, 0.149, 0.169, 9
I, 0.54, 0.42, 0.14, 0.6665, 0.3125, 0.138, 0.1895, 10
M, 0.545, 0.41, 0.12, 0.793, 0.434, 0.1405, 0.19, 9
F, 0.565, 0.45, 0.175, 1.0095, 0.447, 0.2375, 0.2645, 9
F, 0.575, 0.46, 0.145, 0.9945, 0.466, 0.229, 0.265, 7
F, 0.575, 0.45, 0.16, 1.068, 0.556, 0.214, 0.2575, 10
M, 0.6, 0.455, 0.17, 1.1915, 0.696, 0.2395, 0.24, 8
F, 0.6, 0.465, 0.15, 1.1025, 0.5455, 0.262, 0.25, 8
M, 0.6, 0.465, 0.155, 1.0165, 0.512, 0.2465, 0.225, 10
M, 0.62, 0.47, 0.135, 1.0195, 0.5315, 0.2005, 0.2475, 8
M, 0.625, 0.48, 0.185, 1.2065, 0.587, 0.29, 0.286, 8
I, 0.665, 0.5, 0.17, 1.2975, 0.6035, 0.291, 0.3595, 9
M, 0.72, 0.565, 0.145, 1.187, 0.691, 0.1945, 0.2685, 8
M, 0.745, 0.565, 0.215, 1.931, 0.896, 0.4585, 0.5, 11
F, 0.75, 0.57, 0.21, 2.236, 1.109, 0.5195, 0.545, 11
I, 0.305, 0.215, 0.065, 0.1075, 0.044, 0.0205, 0.038, 5
I, 0.345, 0.255, 0.095, 0.1945, 0.0925, 0.037, 0.055, 6
I, 0.345, 0.255, 0.085, 0.2005, 0.105, 0.037, 0.05, 5
I, 0.365, 0.27, 0.085, 0.196, 0.0825, 0.0375, 0.06, 7
I, 0.37, 0.29, 0.09, 0.2445, 0.089, 0.0655, 0.075, 7
I, 0.395, 0.305, 0.105, 0.284, 0.1135, 0.0595, 0.0945, 8
I, 0.405, 0.285, 0.09, 0.2645, 0.1265, 0.0505, 0.075, 6
I, 0.41, 0.335, 0.11, 0.33, 0.157, 0.0705, 0.17, 7
I, 0.425, 0.32, 0.1, 0.3055, 0.126, 0.06, 0.106, 7
I, 0.455, 0.345, 0.105, 0.4005, 0.164, 0.0755, 0.126, 8
F, 0.455, 0.365, 0.115, 0.4305, 0.184, 0.108, 0.1245, 8
I, 0.455, 0.33, 0.1, 0.372, 0.358, 0.0775, 0.11, 8
I, 0.47, 0.365, 0.1, 0.411, 0.175, 0.0855, 0.135, 8
I, 0.47, 0.355, 0.18, 0.48, 0.2055, 0.105, 0.1505, 8
I, 0.475, 0.355, 0.1, 0.5035, 0.2535, 0.091, 0.14, 8
M, 0.495, 0.395, 0.12, 0.553, 0.224, 0.1375, 0.167, 8
I, 0.515, 0.42, 0.135, 0.711, 0.337, 0.144, 0.205, 13
M, 0.535, 0.435, 0.15, 0.717, 0.3475, 0.1445, 0.194, 9
I, 0.545, 0.435, 0.135, 0.7715, 0.372, 0.148, 0.227, 8
I, 0.545, 0.405, 0.135, 0.5945, 0.27, 0.1185, 0.185, 8
I, 0.55, 0.435, 0.14, 0.7535, 0.3285, 0.1555, 0.2325, 10
I, 0.555, 0.43, 0.14, 0.7665, 0.341, 0.165, 0.23, 9
I, 0.56, 0.455, 0.145, 0.974, 0.547, 0.1615, 0.235, 9
I, 0.57, 0.44, 0.13, 0.7665, 0.347, 0.1785, 0.202, 10
M, 0.585, 0.45, 0.18, 0.7995, 0.336, 0.1855, 0.237, 8
F, 0.605, 0.47, 0.16, 1.0835, 0.5405, 0.2215, 0.275, 12
M, 0.61, 0.45, 0.15, 0.871, 0.407, 0.1835, 0.25, 10
M, 0.62, 0.495, 0.18, 1.2555, 0.5765, 0.254, 0.355, 12
F, 0.62, 0.475, 0.16, 1.1295, 0.463, 0.2685, 0.33, 10
I, 0.63, 0.505, 0.18, 1.272, 0.6025, 0.295, 0.315, 11
M, 0.63, 0.495, 0.16, 1.093, 0.497, 0.221, 0.315, 12
M, 0.635, 0.475, 0.17, 1.1935, 0.5205, 0.2695, 0.3665, 10
M, 0.64, 0.565, 0.23, 1.521, 0.644, 0.372, 0.406, 15
F, 0.65, 0.51, 0.17, 1.567, 0.7245, 0.349, 0.391, 10
F, 0.665, 0.53, 0.18, 1.491, 0.6345, 0.342, 0.435, 10
M, 0.685, 0.545, 0.205, 1.7925, 0.8145, 0.416, 0.461, 9
F, 0.7, 0.545, 0.13, 1.556, 0.6725, 0.374, 0.195, 12
F, 0.71, 0.55, 0.17, 1.614, 0.743, 0.345, 0.45, 11
F, 0.72, 0.575, 0.17, 1.9335, 0.913, 0.389, 0.51, 13
I, 0.23, 0.165, 0.06, 0.0515, 0.019, 0.0145, 0.036, 4
I, 0.365, 0.255, 0.08, 0.1985, 0.0785, 0.0345, 0.053, 5
I, 0.37, 0.27, 0.095, 0.232, 0.1325, 0.041, 0.0615, 6
I, 0.375, 0.28, 0.085, 0.3155, 0.187, 0.046, 0.067, 7
I, 0.385, 0.3, 0.09, 0.247, 0.1225, 0.044, 0.0675, 5
I, 0.405, 0.31, 0.095, 0.3425, 0.1785, 0.064, 0.0855, 8
I, 0.405, 0.29, 0.09, 0.2825, 0.112, 0.075, 0.0815, 7
M, 0.44, 0.32, 0.12, 0.4565, 0.2435, 0.092, 0.1025, 8
M, 0.45, 0.335, 0.125, 0.4475, 0.2165, 0.126, 0.11, 6
I, 0.46, 0.355, 0.11, 0.436, 0.1975, 0.096, 0.125, 8
M, 0.485, 0.37, 0.13, 0.526, 0.2485, 0.105, 0.1555, 6
F, 0.495, 0.38, 0.12, 0.573, 0.2655, 0.1285, 0.144, 7
M, 0.525, 0.4, 0.14, 0.7205, 0.3685, 0.145, 0.1735, 8
F, 0.56, 0.435, 0.15, 0.8715, 0.4755, 0.1835, 0.1835, 9
M, 0.57, 0.445, 0.15, 0.9875, 0.504, 0.207, 0.249, 8
M, 0.575, 0.465, 0.15, 1.08, 0.595, 0.2065, 0.238, 9
M, 0.575, 0.46, 0.165, 0.9155, 0.4005, 0.2465, 0.2385, 8
M, 0.59, 0.44, 0.15, 0.8725, 0.387, 0.215, 0.245, 8
F, 0.605, 0.485, 0.165, 0.9515, 0.4535, 0.193, 0.2765, 11
F, 0.605, 0.485, 0.16, 1.201, 0.417, 0.2875, 0.38, 9
M, 0.625, 0.52, 0.175, 1.4105, 0.691, 0.322, 0.3465, 10
M, 0.625, 0.47, 0.18, 1.136, 0.451, 0.3245, 0.305, 11
M, 0.63, 0.455, 0.15, 1.1315, 0.481, 0.2745, 0.305, 9
F, 0.645, 0.515, 0.175, 1.546, 0.7035, 0.365, 0.415, 10
F, 0.655, 0.54, 0.215, 1.5555, 0.695, 0.296, 0.444, 11
M, 0.66, 0.505, 0.165, 1.374, 0.589, 0.351, 0.345, 10
M, 0.72, 0.565, 0.2, 2.1055, 1.017, 0.363, 0.494, 12
I, 0.38, 0.29, 0.1, 0.237, 0.108, 0.0395, 0.082, 6
I, 0.385, 0.29, 0.09, 0.2365, 0.1, 0.0505, 0.076, 8
I, 0.435, 0.335, 0.1, 0.3295, 0.129, 0.07, 0.11, 7
I, 0.455, 0.36, 0.115, 0.457, 0.2085, 0.0855, 0.147, 10
I, 0.46, 0.355, 0.11, 0.4255, 0.2015, 0.081, 0.13, 7
I, 0.48, 0.37, 0.125, 0.474, 0.179, 0.1035, 0.175, 9
M, 0.48, 0.355, 0.16, 0.464, 0.221, 0.106, 0.239, 8
I, 0.495, 0.37, 0.125, 0.4715, 0.2075, 0.091, 0.15, 8
I, 0.51, 0.395, 0.13, 0.6025, 0.281, 0.143, 0.162, 7
M, 0.525, 0.415, 0.145, 0.845, 0.3525, 0.1635, 0.2875, 8
I, 0.54, 0.425, 0.14, 0.742, 0.32, 0.1395, 0.25, 9
I, 0.545, 0.4, 0.13, 0.686, 0.3285, 0.1455, 0.18, 9
I, 0.56, 0.445, 0.15, 0.8225, 0.3685, 0.187, 0.236, 10
F, 0.57, 0.45, 0.135, 0.7805, 0.3345, 0.185, 0.21, 8
I, 0.57, 0.445, 0.145, 0.7405, 0.306, 0.172, 0.1825, 12
I, 0.575, 0.425, 0.135, 0.7965, 0.364, 0.196, 0.239, 10
F, 0.575, 0.47, 0.155, 1.116, 0.509, 0.238, 0.34, 10
M, 0.575, 0.44, 0.16, 0.9615, 0.483, 0.166, 0.275, 13
I, 0.58, 0.445, 0.125, 0.7095, 0.303, 0.1405, 0.235, 9
F, 0.595, 0.435, 0.15, 0.9, 0.4175, 0.17, 0.265, 8
M, 0.595, 0.45, 0.145, 0.959, 0.463, 0.2065, 0.2535, 10
M, 0.6, 0.48, 0.165, 0.9165, 0.4135, 0.1965, 0.2725, 9
M, 0.6, 0.47, 0.165, 1.059, 0.504, 0.241, 0.275, 9
M, 0.6, 0.47, 0.16, 1.194, 0.5625, 0.3045, 0.2635, 10
I, 0.62, 0.45, 0.135, 0.924, 0.358, 0.2265, 0.2965, 10
F, 0.62, 0.48, 0.175, 1.0405, 0.464, 0.2225, 0.3, 9
M, 0.63, 0.505, 0.17, 1.0915, 0.4615, 0.266, 0.3, 9
I, 0.635, 0.5, 0.165, 1.489, 0.715, 0.3445, 0.3615, 13
M, 0.645, 0.5, 0.19, 1.5595, 0.741, 0.3715, 0.3845, 14
M, 0.645, 0.5, 0.175, 1.3375, 0.554, 0.308, 0.415, 10
M, 0.65, 0.51, 0.16, 1.3835, 0.6385, 0.2905, 0.3665, 9
F, 0.655, 0.51, 0.15, 1.043, 0.4795, 0.223, 0.305, 9
M, 0.66, 0.53, 0.195, 1.5505, 0.6505, 0.3295, 0.495, 10
M, 0.67, 0.505, 0.16, 1.2585, 0.6255, 0.311, 0.308, 12
F, 0.67, 0.55, 0.155, 1.566, 0.858, 0.339, 0.354, 10
F, 0.705, 0.545, 0.17, 1.58, 0.6435, 0.4565, 0.265, 11
F, 0.71, 0.57, 0.195, 1.9805, 0.9925, 0.4925, 0.48, 12
