@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
F, 0.41, 0.305, 0.1, 0.363, 0.1735, 0.065, 0.11, 11
F, 0.55, 0.41, 0.145, 0.8285, 0.3095, 0.1905, 0.25, 13
F, 0.37, 0.29, 0.115, 0.25, 0.111, 0.057, 0.075, 9
I, 0.605, 0.495, 0.145, 1.054, 0.369, 0.2255, 0.36, 12
F, 0.56, 0.445, 0.195, 0.981, 0.305, 0.2245, 0.335, 16
M, 0.35, 0.265, 0.09, 0.1775, 0.0575, 0.042, 0.068, 12
I, 0.495, 0.37, 0.125, 0.4775, 0.185, 0.0705, 0.169, 18
M, 0.415, 0.345, 0.135, 0.3865, 0.128, 0.07, 0.148, 13
F, 0.47, 0.355, 0.14, 0.433, 0.1525, 0.095, 0.152, 12
M, 0.235, 0.17, 0.055, 0.0515, 0.018, 0.0105, 0.0195, 7
F, 0.5, 0.385, 0.115, 0.6785, 0.2945, 0.138, 0.195, 12
I, 0.475, 0.365, 0.115, 0.49, 0.223, 0.1235, 0.1335, 9
M, 0.355, 0.265, 0.09, 0.168, 0.05, 0.041, 0.063, 8
F, 0.59, 0.45, 0.16, 0.9, 0.358, 0.156, 0.315, 19
I, 0.46, 0.35, 0.12, 0.4885, 0.193, 0.105, 0.155, 11
I, 0.47, 0.35, 0.13, 0.466, 0.1845, 0.099, 0.145, 11
F, 0.38, 0.305, 0.105, 0.281, 0.1045, 0.0615, 0.09, 12
I, 0.45, 0.355, 0.12, 0.412, 0.1145, 0.0665, 0.16, 19
M, 0.455, 0.35, 0.12, 0.4835, 0.1815, 0.144, 0.16, 11
F, 0.45, 0.35, 0.145, 0.5425, 0.1765, 0.123, 0.175, 13
M, 0.475, 0.385, 0.145, 0.6175, 0.235, 0.108, 0.215, 14
F, 0.43, 0.325, 0.115, 0.3865, 0.1475, 0.1065, 0.11, 11
F, 0.345, 0.26, 0.09, 0.207, 0.0775, 0.0435, 0.0765, 10
I, 0.295, 0.225, 0.09, 0.1105, 0.0405, 0.0245, 0.032, 7
I, 0.325, 0.25, 0.08, 0.176, 0.0595, 0.0355, 0.063, 7
M, 0.35, 0.255, 0.08, 0.1915, 0.08, 0.0385, 0.063, 9
M, 0.555, 0.44, 0.15, 1.092, 0.416, 0.212, 0.4405, 15
F, 0.48, 0.375, 0.105, 0.525, 0.2185, 0.1195, 0.155, 12
M, 0.525, 0.4, 0.13, 0.8295, 0.2405, 0.1825, 0.275, 11
M, 0.545, 0.42, 0.13, 0.879, 0.374, 0.1695, 0.23, 13
M, 0.53, 0.44, 0.205, 0.835, 0.32, 0.2175, 0.245, 14
F, 0.66, 0.52, 0.2, 1.676, 0.673, 0.4805, 0.45, 17
M, 0.695, 0.515, 0.175, 1.5165, 0.578, 0.4105, 0.39, 15
F, 0.605, 0.46, 0.17, 1.122, 0.347, 0.3045, 0.315, 13
M, 0.62, 0.505, 0.185, 1.5275, 0.69, 0.368, 0.35, 13
F, 0.605, 0.495, 0.19, 1.437, 0.469, 0.2655, 0.41, 15
F, 0.53, 0.425, 0.17, 0.949, 0.3485, 0.2395, 0.278, 17
F, 0.515, 0.39, 0.13, 0.5755, 0.1975, 0.13, 0.1845, 9
F, 0.505, 0.39, 0.16, 0.644, 0.2475, 0.2025, 0.1635, 9
F, 0.44, 0.34, 0.13, 0.4195, 0.153, 0.1155, 0.13, 10
I, 0.37, 0.275, 0.14, 0.2215, 0.097, 0.0455, 0.0615, 6
I, 0.385, 0.29, 0.095, 0.312, 0.143, 0.0635, 0.086, 6
M, 0.415, 0.305, 0.1, 0.325, 0.156, 0.0505, 0.091, 6
M, 0.525, 0.395, 0.13, 0.7635, 0.3375, 0.1425, 0.225, 8
M, 0.54, 0.405, 0.125, 0.891, 0.4815, 0.1915, 0.202, 9
F, 0.54, 0.42, 0.14, 0.805, 0.369, 0.1725, 0.21, 11
F, 0.55, 0.43, 0.125, 0.923, 0.4035, 0.175, 0.283, 8
M, 0.59, 0.475, 0.165, 1.077, 0.4545, 0.244, 0.3095, 9
M, 0.605, 0.455, 0.16, 1.1035, 0.421, 0.3015, 0.325, 9
M, 0.615, 0.505, 0.165, 1.34, 0.5315, 0.2815, 0.41, 12
F, 0.64, 0.51, 0.165, 1.486, 0.7595, 0.332, 0.321, 8
M, 0.655, 0.52, 0.165, 1.4095, 0.586, 0.291, 0.405, 9
M, 0.655, 0.58, 0.205, 2.0805, 0.959, 0.3415, 0.601, 17
I, 0.305, 0.22, 0.07, 0.141, 0.062, 0.031, 0.037, 5
I, 0.325, 0.24, 0.075, 0.187, 0.0825, 0.0445, 0.05, 6
I, 0.335, 0.25, 0.075, 0.1825, 0.0705, 0.044, 0.055, 7
I, 0.37, 0.29, 0.095, 0.249, 0.1045, 0.058, 0.067, 6
I, 0.37, 0.28, 0.095, 0.2865, 0.1505, 0.069, 0.0795, 7
I, 0.375, 0.28, 0.09, 0.215, 0.084, 0.06, 0.055, 6
I, 0.41, 0.305, 0.09, 0.3535, 0.157, 0.0745, 0.1, 7
I, 0.41, 0.31, 0.09, 0.3335, 0.1635, 0.061, 0.091, 6
I, 0.42, 0.32, 0.115, 0.376, 0.169, 0.092, 0.1, 5
I, 0.425, 0.34, 0.1, 0.382, 0.164, 0.096, 0.1, 6
I, 0.45, 0.335, 0.105, 0.447, 0.2335, 0.153, 0.119, 7
I, 0.455, 0.355, 0.125, 0.5325, 0.225, 0.126, 0.1465, 7
I, 0.455, 0.375, 0.12, 0.497, 0.2355, 0.1055, 0.1295, 6
I, 0.46, 0.345, 0.105, 0.449, 0.196, 0.0945, 0.1265, 7
F, 0.47, 0.365, 0.12, 0.582, 0.29, 0.092, 0.146, 8
M, 0.49, 0.385, 0.125, 0.649, 0.32, 0.124, 0.1695, 8
I, 0.51, 0.375, 0.1, 0.5785, 0.238, 0.1225, 0.175, 7
I, 0.51, 0.405, 0.135, 0.769, 0.3655, 0.1585, 0.18, 7
M, 0.51, 0.41, 0.145, 0.796, 0.3865, 0.1815, 0.1955, 8
M, 0.535, 0.43, 0.14, 0.7165, 0.2855, 0.1595, 0.2155, 8
M, 0.535, 0.435, 0.14, 0.874, 0.3735, 0.229, 0.2195, 8
F, 0.56, 0.455, 0.16, 0.967, 0.4525, 0.207, 0.274, 9
F, 0.575, 0.46, 0.16, 1.103, 0.538, 0.221, 0.249, 9
F, 0.58, 0.46, 0.18, 1.0515, 0.4095, 0.2595, 0.276, 8
M, 0.605, 0.475, 0.155, 1.161, 0.572, 0.2455, 0.275, 9
M, 0.61, 0.47, 0.15, 1.1625, 0.565, 0.258, 0.3085, 11
F, 0.625, 0.48, 0.17, 1.3525, 0.6235, 0.278, 0.365, 10
M, 0.635, 0.49, 0.175, 1.375, 0.623, 0.2705, 0.395, 11
M, 0.635, 0.525, 0.185, 1.4065, 0.684, 0.3, 0.3745, 10
M, 0.645, 0.52, 0.175, 1.636, 0.779, 0.342, 0.432, 11
F, 0.645, 0.5, 0.16, 1.2465, 0.5475, 0.327, 0.3, 10
M, 0.65, 0.52, 0.21, 1.6785, 0.6665, 0.308, 0.46, 11
M, 0.67, 0.525, 0.165, 1.6085, 0.682, 0.3145, 0.4005, 11
F, 0.675, 0.57, 0.225, 1.587, 0.739, 0.2995, 0.435, 10
M, 0.68, 0.535, 0.185, 1.607, 0.7245, 0.3215, 0.498, 12
M, 0.69, 0.505, 0.2, 1.872, 0.893, 0.4015, 0.48, 10
M, 0.715, 0.565, 0.175, 1.9525, 0.7645, 0.4185, 0.4135, 10
I, 0.2, 0.155, 0.04, 0.0435, 0.0155, 0.0090, 0.0070, 4
I, 0.225, 0.165, 0.055, 0.059, 0.027, 0.0125, 0.015, 4
I, 0.4, 0.32, 0.095, 0.348, 0.194, 0.053, 0.087, 6
I, 0.42, 0.31, 0.095, 0.279, 0.1255, 0.051, 0.088, 6
I, 0.445, 0.34, 0.145, 0.434, 0.1945, 0.0905, 0.13, 7
I, 0.45, 0.33, 0.11, 0.3685, 0.16, 0.0885, 0.102, 6
I, 0.5, 0.375, 0.14, 0.5495, 0.248, 0.112, 0.1585, 7
I, 0.52, 0.38, 0.125, 0.5545, 0.288, 0.1295, 0.167, 8
I, 0.53, 0.4, 0.125, 0.617, 0.279, 0.127, 0.19, 8
M, 0.56, 0.445, 0.16, 0.8965, 0.42, 0.2175, 0.2215, 8
F, 0.56, 0.44, 0.155, 0.6405, 0.336, 0.1765, 0.245, 8
I, 0.57, 0.44, 0.15, 0.755, 0.3425, 0.16, 0.224, 8
M, 0.575, 0.435, 0.14, 0.8455, 0.401, 0.191, 0.222, 9
I, 0.575, 0.435, 0.13, 0.805, 0.3155, 0.2155, 0.245, 10
M, 0.58, 0.445, 0.135, 0.814, 0.3775, 0.1915, 0.22, 9
M, 0.585, 0.465, 0.16, 0.9555, 0.4595, 0.236, 0.265, 7
M, 0.605, 0.475, 0.14, 1.1175, 0.555, 0.257, 0.274, 9
F, 0.605, 0.475, 0.165, 1.056, 0.433, 0.2195, 0.357, 9
F, 0.615, 0.475, 0.155, 1.027, 0.447, 0.25, 0.285, 9
F, 0.625, 0.485, 0.175, 1.3745, 0.7335, 0.2715, 0.332, 9
M, 0.64, 0.515, 0.165, 1.369, 0.632, 0.3415, 0.358, 10
F, 0.65, 0.5, 0.19, 1.464, 0.6415, 0.339, 0.4245, 9
F, 0.655, 0.51, 0.175, 1.415, 0.5885, 0.3725, 0.364, 10
F, 0.685, 0.54, 0.215, 1.7025, 0.664, 0.3655, 0.4735, 14
M, 0.7, 0.575, 0.19, 2.273, 1.095, 0.418, 0.638, 12
F, 0.72, 0.58, 0.195, 2.103, 1.0265, 0.48, 0.5375, 10
M, 0.735, 0.585, 0.185, 2.124, 0.952, 0.55, 0.5, 11
I, 0.245, 0.205, 0.06, 0.0765, 0.034, 0.014, 0.0215, 4
I, 0.25, 0.19, 0.065, 0.0835, 0.039, 0.015, 0.025, 5
I, 0.315, 0.23, 0.08, 0.1375, 0.0545, 0.031, 0.0445, 5
I, 0.34, 0.25, 0.09, 0.179, 0.0775, 0.033, 0.055, 6
I, 0.36, 0.27, 0.085, 0.196, 0.0875, 0.035, 0.064, 4
I, 0.365, 0.27, 0.085, 0.1875, 0.081, 0.042, 0.058, 6
I, 0.375, 0.29, 0.085, 0.2385, 0.118, 0.045, 0.0695, 7
I, 0.375, 0.275, 0.095, 0.2465, 0.11, 0.0415, 0.0775, 6
I, 0.375, 0.27, 0.085, 0.218, 0.0945, 0.039, 0.07, 7
I, 0.385, 0.28, 0.09, 0.228, 0.1025, 0.042, 0.0655, 5
I, 0.395, 0.295, 0.095, 0.2725, 0.115, 0.0625, 0.085, 8
I, 0.425, 0.31, 0.09, 0.301, 0.1385, 0.065, 0.08, 7
I, 0.45, 0.33, 0.105, 0.448, 0.208, 0.089, 0.12, 9
I, 0.475, 0.38, 0.12, 0.441, 0.1785, 0.0885, 0.1505, 8
I, 0.475, 0.36, 0.11, 0.492, 0.211, 0.11, 0.15, 8
I, 0.5, 0.41, 0.14, 0.6615, 0.2585, 0.1625, 0.196, 9
I, 0.5, 0.395, 0.14, 0.6215, 0.2925, 0.1205, 0.195, 9
I, 0.505, 0.405, 0.13, 0.6015, 0.3015, 0.11, 0.18, 8
I, 0.505, 0.38, 0.12, 0.594, 0.2595, 0.1435, 0.18, 7
I, 0.515, 0.38, 0.12, 0.625, 0.3265, 0.1295, 0.16, 7
M, 0.525, 0.42, 0.155, 0.842, 0.428, 0.1415, 0.2045, 9
I, 0.535, 0.415, 0.15, 0.5765, 0.3595, 0.135, 0.225, 8
F, 0.545, 0.445, 0.15, 0.8, 0.3535, 0.163, 0.207, 9
F, 0.55, 0.405, 0.125, 0.651, 0.2965, 0.137, 0.2, 9
M, 0.57, 0.435, 0.125, 0.8965, 0.383, 0.1835, 0.275, 9
F, 0.575, 0.48, 0.165, 1.078, 0.511, 0.2095, 0.306, 9
F, 0.58, 0.445, 0.15, 0.858, 0.4, 0.156, 0.253, 8
M, 0.585, 0.475, 0.15, 1.065, 0.5315, 0.199, 0.2885, 10
F, 0.595, 0.465, 0.15, 0.98, 0.4115, 0.196, 0.2255, 10
F, 0.595, 0.465, 0.155, 1.026, 0.4645, 0.112, 0.305, 12
M, 0.6, 0.475, 0.17, 1.1315, 0.508, 0.272, 0.309, 10
M, 0.6, 0.48, 0.155, 1.014, 0.451, 0.1885, 0.325, 11
I, 0.605, 0.435, 0.13, 0.9025, 0.432, 0.174, 0.26, 11
M, 0.61, 0.46, 0.16, 1.0, 0.494, 0.197, 0.275, 10
F, 0.615, 0.475, 0.155, 1.115, 0.484, 0.2115, 0.355, 10
M, 0.625, 0.455, 0.17, 1.082, 0.4955, 0.2345, 0.315, 9
M, 0.645, 0.51, 0.16, 1.1835, 0.556, 0.2385, 0.345, 11
F, 0.66, 0.495, 0.21, 1.548, 0.724, 0.3525, 0.3925, 10
M, 0.675, 0.545, 0.185, 1.7375, 0.876, 0.3135, 0.469, 13
F, 0.695, 0.565, 0.19, 1.7635, 0.7465, 0.399, 0.4975, 11
I, 0.14, 0.105, 0.035, 0.014, 0.0055, 0.0025, 0.0040, 3
I, 0.405, 0.3, 0.105, 0.304, 0.1455, 0.061, 0.0805, 6
M, 0.475, 0.37, 0.125, 0.649, 0.347, 0.136, 0.142, 8
M, 0.485, 0.39, 0.085, 0.6435, 0.2945, 0.103, 0.198, 8
M, 0.55, 0.425, 0.16, 0.793, 0.343, 0.2035, 0.215, 9
F, 0.56, 0.43, 0.15, 0.8745, 0.453, 0.161, 0.22, 8
M, 0.585, 0.455, 0.15, 0.906, 0.4095, 0.23, 0.2335, 8
F, 0.59, 0.46, 0.145, 0.9905, 0.453, 0.2205, 0.275, 8
M, 0.6, 0.455, 0.155, 0.945, 0.4365, 0.2085, 0.25, 8
F, 0.635, 0.505, 0.145, 1.1345, 0.505, 0.2655, 0.315, 10
M, 0.635, 0.51, 0.185, 1.308, 0.544, 0.318, 0.377, 8
I, 0.36, 0.275, 0.075, 0.2205, 0.0985, 0.044, 0.066, 7
I, 0.375, 0.28, 0.08, 0.2165, 0.0935, 0.0925, 0.07, 7
I, 0.38, 0.285, 0.095, 0.243, 0.0895, 0.0665, 0.075, 7
I, 0.425, 0.325, 0.11, 0.317, 0.135, 0.048, 0.09, 8
I, 0.425, 0.315, 0.08, 0.303, 0.131, 0.0585, 0.095, 7
I, 0.495, 0.4, 0.105, 0.602, 0.2505, 0.1265, 0.19, 8
I, 0.5, 0.39, 0.12, 0.5955, 0.2455, 0.147, 0.173, 8
I, 0.515, 0.395, 0.125, 0.6635, 0.32, 0.14, 0.17, 8
I, 0.52, 0.41, 0.145, 0.646, 0.2965, 0.1595, 0.165, 9
I, 0.525, 0.38, 0.135, 0.615, 0.261, 0.159, 0.175, 8
I, 0.54, 0.425, 0.13, 0.7205, 0.2955, 0.169, 0.225, 10
I, 0.555, 0.395, 0.13, 0.5585, 0.222, 0.1245, 0.17, 9
I, 0.555, 0.46, 0.145, 0.9005, 0.3845, 0.158, 0.2765, 11
I, 0.565, 0.42, 0.155, 0.743, 0.31, 0.186, 0.231, 9
M, 0.57, 0.45, 0.14, 0.795, 0.3385, 0.148, 0.245, 9
I, 0.57, 0.43, 0.145, 0.833, 0.354, 0.144, 0.2815, 10
M, 0.575, 0.47, 0.185, 0.985, 0.3745, 0.2175, 0.355, 10
M, 0.59, 0.49, 0.165, 1.207, 0.559, 0.235, 0.309, 10
M, 0.595, 0.45, 0.14, 0.838, 0.3965, 0.194, 0.217, 10
I, 0.595, 0.46, 0.15, 0.8335, 0.377, 0.1925, 0.235, 8
F, 0.6, 0.475, 0.15, 1.13, 0.575, 0.196, 0.305, 9
F, 0.6, 0.48, 0.18, 1.0645, 0.4495, 0.2455, 0.325, 10
F, 0.605, 0.455, 0.145, 0.9775, 0.468, 0.1775, 0.275, 9
I, 0.605, 0.47, 0.145, 0.8025, 0.379, 0.2265, 0.22, 9
F, 0.605, 0.505, 0.18, 1.434, 0.7285, 0.264, 0.431, 11
M, 0.61, 0.47, 0.17, 1.1185, 0.5225, 0.2405, 0.31, 9
I, 0.62, 0.485, 0.18, 1.154, 0.4935, 0.256, 0.315, 12
M, 0.62, 0.515, 0.175, 1.221, 0.535, 0.241, 0.395, 13
F, 0.62, 0.54, 0.165, 1.139, 0.4995, 0.2435, 0.357, 11
I, 0.62, 0.49, 0.16, 1.066, 0.446, 0.246, 0.305, 11
I, 0.625, 0.47, 0.155, 1.1955, 0.643, 0.2055, 0.3145, 12
F, 0.625, 0.485, 0.175, 1.362, 0.6765, 0.2615, 0.3705, 10
F, 0.64, 0.505, 0.165, 1.2235, 0.5215, 0.2695, 0.36, 10
M, 0.645, 0.51, 0.19, 1.4745, 0.605, 0.345, 0.48, 9
M, 0.645, 0.51, 0.195, 1.226, 0.5885, 0.2215, 0.3745, 10
F, 0.65, 0.495, 0.155, 1.337, 0.615, 0.3195, 0.335, 9
F, 0.655, 0.505, 0.195, 1.4405, 0.688, 0.3805, 0.363, 11
M, 0.665, 0.525, 0.175, 1.443, 0.6635, 0.3845, 0.353, 11
M, 0.665, 0.52, 0.175, 1.3725, 0.606, 0.32, 0.395, 12
M, 0.665, 0.5, 0.175, 1.2975, 0.6075, 0.314, 0.315, 9
F, 0.675, 0.51, 0.195, 1.382, 0.6045, 0.3175, 0.3965, 10
M, 0.685, 0.52, 0.15, 1.3735, 0.7185, 0.293, 0.32, 11
F, 0.69, 0.55, 0.2, 1.569, 0.687, 0.3675, 0.46, 12
F, 0.7, 0.535, 0.175, 1.773, 0.6805, 0.48, 0.512, 15
M, 0.71, 0.575, 0.215, 2.009, 0.9895, 0.4475, 0.502, 11
F, 0.71, 0.54, 0.205, 1.5805, 0.802, 0.287, 0.435, 10
F, 0.72, 0.525, 0.18, 1.445, 0.631, 0.3215, 0.435, 7
F, 0.75, 0.565, 0.215, 1.938, 0.7735, 0.4825, 0.575, 11
I, 0.275, 0.175, 0.09, 0.2315, 0.096, 0.057, 0.0705, 5
M, 0.485, 0.37, 0.155, 0.968, 0.419, 0.2455, 0.2365, 9
M, 0.525, 0.38, 0.125, 0.65, 0.303, 0.155, 0.159, 7
F, 0.535, 0.425, 0.135, 0.771, 0.3765, 0.1815, 0.1795, 8
I, 0.575, 0.45, 0.13, 0.8145, 0.403, 0.1715, 0.213, 10
M, 0.585, 0.455, 0.145, 0.953, 0.3945, 0.2685, 0.258, 10
I, 0.585, 0.45, 0.15, 0.8915, 0.3975, 0.2035, 0.253, 8
M, 0.6, 0.465, 0.165, 1.038, 0.4975, 0.2205, 0.251, 9
M, 0.625, 0.495, 0.175, 1.254, 0.5815, 0.286, 0.3185, 9
M, 0.635, 0.495, 0.195, 1.172, 0.445, 0.3115, 0.3475, 11
F, 0.64, 0.475, 0.14, 1.0725, 0.4895, 0.2295, 0.31, 8
M, 0.72, 0.56, 0.18, 1.5865, 0.691, 0.375, 0.4425, 11
I, 0.31, 0.215, 0.075, 0.1275, 0.0565, 0.0275, 0.036, 7
